case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
3,1500.0,45,3CD4608E,BB80C710,40B2D12F,00000000,40B98CB7,00000000,40B98CB7,00000000,390BB2A5
3,1500.0,46,3CD577F2,BB80C710,40ACB51E,00000000,40B2D12F,00000000,40B2D12F,00000000,00000000
3,1500.0,47,3C90C40B,BB80C710,40A752C9,00000000,40ACB51E,00000000,40ACB51E,00000000,00000000
3,1500.0,48,3C277BEF,BB80C710,40A2DD1E,00000000,40A752C9,00000000,40A752C9,00000000,00000000
3,1500.0,49,3B8367DC,BB80C710,40A00000,00000000,40A2DD1E,00000000,40A2DD1E,00000000,00000000
4,1500.0,1,00000000,00000000,42266007,00000000,42266007,00000000,42266007,00000000,00000000
4,1500.0,2,00000000,00000000,4218AA6A,00000000,42266007,00000000,42266007,00000000,3C9C2D4B
4,1500.0,3,3C9C2D4B,00000000,420DE5E8,00000000,4218AA6A,00000000,4218AA6A,00000000,3B0BA1D1
4,1500.0,4,3CADA185,00000000,4204DDBE,00000000,420DE5E8,00000000,420DE5E8,00000000,3B05916A
4,1500.0,5,3CBE53B2,00000000,41FA1EBC,00000000,4204DDBE,00000000,4204DDBE,00000000,3B015C49
4,1500.0,6,3CCE7F3A,00000000,41EC5772,00000000,41FA1EBC,00000000,41FA1EBC,00000000,3AFC6FEF
4,1500.0,7,3CDE4630,00000000,41DFFE17,00000000,41EC5772,00000000,41EC5772,00000000,3AF77E23
4,1500.0,8,3CEDBDF5,00000000,41D4CB00,00000000,41DFFE17,00000000,41DFFE17,00000000,3AF36F57
4,1500.0,9,3CFCF490,00000000,41CA8A54,00000000,41D4CB00,00000000,41D4CB00,00000000,3AEFFE5B
4,1500.0,10,3D05F9C3,00000000,41C11548,00000000,41CA8A54,00000000,41CA8A54,00000000,3AE0E894
4,1500.0,11,3D0CFFFA,00000000,41B84E0C,00000000,41C11548,00000000,41C11548,00000000,3AD01AAF
4,1500.0,12,3D137EAE,00000000,41B01D2C,00000000,41B84E0C,00000000,41B84E0C,00000000,3AC18F17
4,1500.0,13,3D19871C,00000000,41A86FE6,00000000,41B01D2C,00000000,41B01D2C,00000000,3AB4DDB0
4,1500.0,14,3D1F26B3,00000000,41A136EC,00000000,41A86FE6,00000000,41A86FE6,00000000,3AAA3454
4,1500.0,15,3D246B76,00000000,419A65A6,00000000,41A136EC,00000000,41A136EC,00000000,3AA14135
4,1500.0,16,3D295FAF,00000000,4193F188,00000000,419A65A6,00000000,419A65A6,00000000,3A99709E
4,1500.0,17,3D2E07B3,00000000,418DD1B4,00000000,4193F188,00000000,4193F188,00000000,3A9250B5
4,1500.0,18,3D3262CD,00000000,4187FE96,00000000,418DD1B4,00000000,418DD1B4,00000000,3A8B8F9D
4,1500.0,19,3D366C74,00000000,418271B3,00000000,4187FE96,00000000,4187FE96,00000000,3A84F0D6
4,1500.0,20,3D3A1D7A,00000000,417A4ADF,00000000,418271B3,00000000,418271B3,00000000,3A7C93C9
4,1500.0,21,3D3D6D9E,00000000,417029D8,00000000,417A4ADF,00000000,417A4ADF,00000000,3A6EF8EA
4,1500.0,22,3D405548,00000000,416677D0,00000000,417029D8,00000000,417029D8,00000000,3A60E781
4,1500.0,23,3D42CEDC,00000000,415D2D53,00000000,416677D0,00000000,416677D0,00000000,3A526ED2
4,1500.0,24,3D44D4AC,00000000,415443CE,00000000,415D2D53,00000000,415D2D53,00000000,3A44839E
4,1500.0,25,3D4663F9,00000000,414BB58E,00000000,415443CE,00000000,415443CE,00000000,3A397A0A
4,1500.0,26,3D477A9B,00000000,41437D8A,00000000,414BB58E,00000000,414BB58E,00000000,3A30D59F
4,1500.0,27,3D481079,00000000,413B973E,00000000,41437D8A,00000000,41437D8A,00000000,3A284768
4,1500.0,28,3D481C6C,00000000,4133FEA4,00000000,413B973E,00000000,413B973E,00000000,3A1FCA4D
4,1500.0,29,3D47963C,00000000,412CB030,00000000,4133FEA4,00000000,4133FEA4,00000000,3A175BF6
4,1500.0,30,3D467725,00000000,4125A8C4,00000000,412CB030,00000000,412CB030,00000000,3A0EFA6D
4,1500.0,31,3D44BA4D,00000000,411EE59D,00000000,4125A8C4,00000000,4125A8C4,00000000,3A06A813
4,1500.0,32,3D425D35,00000000,41186459,00000000,411EE59D,00000000,411EE59D,00000000,39FCCE6E
4,1500.0,33,3D3F6024,00000000,411222E8,00000000,41186459,00000000,41186459,00000000,39EC79DB
4,1500.0,34,3D3BC66E,00000000,410C1F8D,00000000,411222E8,00000000,411222E8,00000000,39DC5E74
4,1500.0,35,3D3796AF,00000000,410658DC,00000000,410C1F8D,00000000,410C1F8D,00000000,39CC8A96
4,1500.0,36,3D32DAD9,00000000,4100CDB4,00000000,410658DC,00000000,410658DC,00000000,39BD0ED1
4,1500.0,37,3D2DA023,00000000,40F6FA98,00000000,4100CDB4,00000000,4100CDB4,00000000,39ADFAA5
4,1500.0,38,3D27F6DF,00000000,40ECCE5E,00000000,40F6FA98,00000000,40F6FA98,00000000,399F5EAF
