case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,p8w,dz8w,rho3d,pi3d,w,qvften,thften,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
2,1500.0,33,438297B8,3B0AF2A5,00000000,00000000,41A456EC,00000000,47331678,47378FE4,43BF3146,3F1C5EF0,3F4CDDBC,3D691188,324F19DC,374A3F40,39C54506,B33D2223,31AFA9A2,329332FA,36A11112,00000000
2,1500.0,34,43815993,3AE1C4DA,00000000,00000000,41A5902C,00000000,472A1768,472E9D0C,43C97930,3F15FA90,3F49DF18,3D6E4265,3246E3AC,37423A56,39CAE6C2,B3150667,315A5A5C,32AAB098,369AAAAB,00000000
2,1500.0,35,43800A52,3AB3F935,00000000,00000000,41A6DA44,00000000,47210026,472591C4,43D4D5E4,3F0F7200,3F46BA63,3D7246B4,323E3C74,3739C709,39D23BA7,B2E15DDF,30D9FD14,32BFFB29,36922223,00000000
2,1500.0,36,437D5054,3A8C5087,00000000,00000000,41A836FA,00000000,4717D12A,471C6E89,43E17BCE,3F08C405,3F436BD0,3D74DF6E,3235184C,3730D9BA,39DA54F7,B2A1CCCD,3001101C,32D279BA,36877778,00000000
2,1500.0,37,437A61EB,3A5515BB,00000000,00000000,41A9A869,00000000,470E8AE0,471333CA,43EFAB1F,3F01EF2E,3F3FEEDC,3D75C229,322B6915,3727649E,39E2EC71,B24ED556,2C2CC29C,32E15920,36755556,00000000
2,1500.0,38,4377444D,3A1CB565,00000000,00000000,41AB3115,00000000,47052DB5,4709E1F6,43FFB7C2,3EF5E385,3F3C3E26,3D7496BB,32211DE6,371D5733,39ED2CB2,B1E10001,00000000,32EE6B23,36555556,00000000
2,1500.0,39,4373F146,39DD8F6F,00000000,00000000,41ACD40D,00000000,46F7741C,47007974,4409073E,3EE79359,3F385329,3D70F440,3216223F,37129D72,39F9CEEA,B1320889,00000000,32FAAA71,362EEEF0,00000000
2,1500.0,40,43706136,3994EDC0,00000000,00000000,41AE9510,00000000,46E46098,46EDF550,4413A07E,3ED8E8C7,3F3425E1,3D6A5D72,320A5CF7,37071EC9,3A041034,309D1112,00000000,33010E6A,35FBBBBD,00000000
2,1500.0,41,436C8A9C,3944163C,00000000,00000000,41B078CF,00000000,46D1219A,46DACBE0,44200B1D,3EC9DD5C,3F2FAC53,3D603C0D,31FB5D3B,36F5790C,3A0B3754,318D1112,00000000,32FEEA29,3599999A,00000000
2,1500.0,42,4368615C,390D02D6,00000000,00000000,41B2853D,00000000,46BDB7DA,46C77754,442ED35C,3EBA6948,3F2AD9C8,3D51DB0E,31DFDE72,36DA9F3B,3A10D804,31125DDE,00000000,32E801A3,354CCCCE,00000000
2,1500.0,43,4363D5B8,38C13BDD,00000000,00000000,41B4C21C,00000000,46AA2402,46B3F860,4440C4DF,3EAA83BF,3F259DB1,3D3E5FBD,31C1D588,36BD4A87,3A16C2FA,2FF82223,00000000,32CE2AC7,34BBBBBC,00000000
2,1500.0,44,435ED2A6,3878DD17,00000000,00000000,41B739C6,00000000,469666B6,46A04FA4,44571520,3E9A2015,3F1FE1DD,3D24C155,31A0B775,369CF328,3A1D2103,B0454001,00000000,32B089F1,B3CCCCCE,00000000
2,1500.0,45,43593B0F,38139FF0,00000000,00000000,41B9FA8E,00000000,46828094,468C7DC8,4473B56C,3E892DA8,3F198776,3D03C076,3177880C,3671BADC,3A24BE1F,B0AE6CCD,00000000,328F93C0,B519999A,00000000
