case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
2,1500.0,23,438C5815,3C377B94,3BA3D70A,3F7C26B7,489DC247,3C34B965,3BA16075,38B22B5B,3A14D5FC,00000000,3C8B31DF,4388656D,3BA72BAD,2
2,1500.0,24,438D0662,3C4239E2,3BA3D70A,3F7EB1B7,489EA1DD,3C413C43,3BA30119,38A6A592,3A10328E,00000000,3C82315A,4389504C,3BBDB098,2
2,1500.0,25,438DAC0C,3C4CD06A,3BA3D70A,3F804C55,489F1E1B,3C4D4A8E,3BA438BE,389377A6,39648E3B,00000000,3C75D536,438A311D,3BD5D78A,2
2,1500.0,26,438E4A09,3C57454C,3B9990FB,3F80EB32,489F3566,3C58D0D9,3B9AAB27,388236EA,39340186,00000000,3C69F70F,438B094B,3BED5601,2
2,1500.0,27,438EE13F,3C61A10F,3B8E7A69,3F812F59,489EE1C6,3C63B7C7,3B8FCC12,38650161,392E639F,00000000,3C5E345B,438BD945,3C01F5AA,2
2,1500.0,28,438F7247,3C6BE6B4,3B83EAE9,3F81128D,489E1CEC,3C6DE0B2,3B8505DD,384873FC,39287B41,00000000,3C528747,438CA172,3C0DAE42,2
2,1500.0,29,438FFD9D,3C761832,3B73BF9D,3F808F5A,489CE179,3C772BCE,3B74D098,382E9461,392247A3,00000000,3C46EDCD,438D6227,3C19CD54,2
2,1500.0,30,439083A4,3C801B1F,3B60AA42,3F7F42E5,489B2B69,3C7F78FB,3B60044D,38173329,391BC8F7,00000000,3C3B6733,438E1BB9,3C264BA8,2
2,1500.0,31,439104AA,3C852009,3B4E8B7F,3F7C8C0A,4898F87A,3C83545C,3B4BC24D,3802256C,39150479,00000000,3C2FF7E8,438ECE68,3C332097,2
2,1500.0,32,439180E6,3C8A19C2,3B3D566A,3F78F819,4896487F,3C864ECA,3B382335,37DE830C,390E00C7,00000000,3C24A507,438F7A76,3C4043C4,2
2,1500.0,33,4391F87E,3C8F0644,3B2CFCE4,3F748921,48931DA7,3C889E96,3B253DB3,37BCC148,3906C89A,00000000,3C1976F5,43902013,3C4DAB61,2
2,1500.0,34,43926B87,3C93E2AB,3B1D6F3E,3F6F45B1,488F7CB6,3C8A38E0,3B1325B7,379EBB21,38FED2A1,00000000,3C0E7770,4390BF71,3C5B4DA2,2
2,1500.0,35,4392DA05,3C98AB20,3B0E9CE5,3F693908,488B6D18,3C8B15C3,3B01EC92,378429CD,38EFE58C,00000000,3C03B1DD,439158B5,3C691FB8,2
2,1500.0,36,439343EE,3C9D5AE4,3B007493,3F627312,4886F8D9,3C8B30F8,3AE3414E,3759923E,38E0EBC2,00000000,3BF264EF,4391EBFC,3C77162E,2
2,1500.0,37,4393A92F,3CA1EC60,3AE5C89E,3F5B0839,48822C86,3C8A8A6A,3AC49A01,3730AF08,38D203F0,00000000,3BDE09CC,43927960,3C829266,2
2,1500.0,38,439409A5,3CA65915,3ACBB551,3F531103,487A2DDB,3C89267A,3AA7F3FB,370D2D48,38C3426C,00000000,3BCA6A1E,439300EC,3C899F06,2
2,1500.0,39,43946525,3CAA99BA,3AB28D04,3F4AA97B,486F918A,3C870E3E,3A8D597A,36DD2377,38B494E9,00000000,3BB799FB,439382AC,3C90A9DF,2
