case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
3,1500.0,30,438E1BB1,3C276FA5,46D54C45,46DDB492,478D5682,3F7ED15D,438E1BB1,3C276FA5,00000000,00000000,00000000,00000000
3,1500.0,31,438ECE62,3C3434E0,46C4CD58,46CCE3F7,47911463,3F7C296A,438ECE62,3C3434E0,00000000,00000000,00000000,00000000
3,1500.0,32,438F7A6F,3C41451B,46B4EEF4,46BCB6BB,4794C0C7,3F78A56F,438F7A6F,3C41451B,00000000,00000000,00000000,00000000
3,1500.0,33,4390200F,3C4E96FB,46A5ABC1,46AD272B,47985B0D,3F7446BE,4390200F,3C4E96FB,00000000,00000000,00000000,00000000
3,1500.0,34,4390BF6D,3C5C209D,4696FF38,469E3058,479BE286,3F6F1322,4390BF6D,3C5C209D,00000000,00000000,00000000,00000000
3,1500.0,35,439158B2,3C69D751,4688E58E,468FCE18,479F5670,3F69151B,439158B2,3C69D751,00000000,00000000,00000000,00000000
3,1500.0,36,4391EBFA,3C77AFCD,4676B768,4681FD03,47A2B5F3,3F625BEA,4391EBFA,3C77AFCD,00000000,00000000,00000000,00000000
3,1500.0,37,4392795F,3C82CF13,465CBEBF,466974CA,47A60021,3F5AFB69,4392795F,3C82CF13,00000000,00000000,00000000,00000000
3,1500.0,38,439300EC,3C89CA6C,4643DE26,465008B6,47A933EB,3F530BA8,439300EC,3C89CA6C,00000000,00000000,00000000,00000000
3,1500.0,39,439382AC,3C90C31D,462C1458,4637B397,47AC501F,3F4AA86E,439382AC,3C90C31D,00000000,00000000,00000000,00000000
3,1500.0,40,4393FE98,3C97B11E,46156211,46207519,47AF535C,3F41F080,4393FE98,3C97B11E,00000000,00000000,00000000,00000000
3,1500.0,41,439474A4,3C9E12A8,45FF94A2,460A4F09,47B23C0A,3F38F191,439474A4,3C9E12A8,00000000,00000000,00000000,00000000
3,1500.0,42,4394E4B2,3CA41B0B,45D6A57A,45EA8B2F,47B50844,3F2FC6D7,4394E4B2,3CA41B0B,00000000,00000000,00000000,00000000
3,1500.0,43,43954E96,3CA9F918,45B008C7,45C2BFC5,47B7B5C4,3F26971B,43954E96,3CA9F918,00000000,00000000,00000000,00000000
3,1500.0,44,4395B20D,3CAFA214,458BDA08,459D51CA,47BA41BE,3F1D8A89,4395B20D,3CAFA214,00000000,00000000,00000000,B7BA5555
3,1500.0,45,43960EB6,3CB50949,455484C8,4574C48E,47BCA8A3,3F14CA7B,4395ED58,3CBB3EA1,BE337778,C750E370,BB83442C,00000000
3,1500.0,46,439663FC,3CBA1E60,4517010F,45344503,47BEE5BD,3F158E39,439663FC,3CBA1E60,00000000,00000000,00000000,00000000
