case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
4,1500.0,5,41FA1EBC,00000000,43597050,38176B46,B238BCB3,BD90AAF5,4204DDBE,00000000,00000000,00000000,00000000,00000000
4,1500.0,6,41EC5772,00000000,435F0946,387F0AC3,B270376D,BDD9E9EE,41FA1EBC,00000000,00000000,00000000,00000000,00000000
4,1500.0,7,41DFFE17,00000000,43640D92,38C5E2E2,B290F85D,BE1089FC,41EC5772,00000000,00000000,00000000,00000000,00000000
4,1500.0,8,41D4CB00,00000000,43689A54,3910504B,B2A78495,BE32359D,41DFFE17,00000000,00000000,00000000,00000000,00000000
4,1500.0,9,41CA8A54,00000000,436CC49A,3948907E,B2BC28BD,BE516A56,41D4CB00,00000000,00000000,00000000,00000000,00000000
4,1500.0,10,41C11548,00000000,43709C27,3998730A,B2CF32F3,BE6DD132,41CA8A54,00000000,00000000,00000000,00000000,00000000
4,1500.0,11,41B84E0C,00000000,43742D17,39E3B8AB,B2E0DF3D,BE839D82,41C11548,00000000,00000000,00000000,00000000,00000000
4,1500.0,12,41B01D2C,00000000,437780F2,3A218462,B2F15CCC,BE8ECA1B,41B84E0C,00000000,00000000,00000000,00000000,00000000
4,1500.0,13,41A86FE6,00000000,437A9F57,3A5C0F26,B30068B6,BE986E1E,41B01D2C,00000000,00000000,00000000,00000000,00000000
4,1500.0,14,41A136EC,00000000,437D8E7C,3A911D36,B307ADF3,BEA09019,41A86FE6,00000000,00000000,00000000,00000000,00000000
4,1500.0,15,419A65A6,00000000,438029C0,3ABA522B,B30E8ACC,BEA73B6B,41A136EC,00000000,00000000,00000000,00000000,00000000
4,1500.0,16,4193F188,00000000,43817956,3AE9E66B,B31509DF,BEAC7EC0,419A65A6,00000000,00000000,00000000,00000000,00000000
4,1500.0,17,418DD1B4,00000000,4382B7CE,3B100598,B31B341B,BEB06B04,4193F188,00000000,00000000,00000000,00000000,00000000
4,1500.0,18,4187FE96,00000000,4383E6B0,3B2E71C1,B321111C,BEB3129E,418DD1B4,00000000,00000000,00000000,00000000,00000000
4,1500.0,19,418271B3,00000000,4385074E,3B5042BB,B326A76C,BEB488C3,4187FE96,00000000,00000000,00000000,00000000,00000000
4,1500.0,20,417A4ADF,00000000,43861ACB,3B757D31,B32BFCAE,BEB4E123,418271B3,00000000,00000000,00000000,00000000,00000000
4,1500.0,21,417029D8,00000000,43872226,3B8F1026,B33115CB,BEB42F7E,417A4ADF,00000000,00000000,00000000,00000000,00000000
4,1500.0,22,416677D0,00000000,43881E3B,3BA51292,B335F70A,BEB28770,417029D8,00000000,00000000,00000000,00000000,00000000
4,1500.0,23,415D2D53,00000000,43890FCC,3BBCBFDB,B33AA42B,BEAFFC4A,416677D0,00000000,00000000,00000000,00000000,00000000
4,1500.0,24,415443CE,00000000,4389F783,3BD60F6A,B33F2080,BEACA0F1,415D2D53,00000000,00000000,00000000,00000000,00000000
4,1500.0,25,414BB58E,00000000,438AD5F6,3BEE9979,B3436EE3,BEA889B5,415443CE,00000000,00000000,00000000,00000000,00000000
4,1500.0,26,41437D8A,00000000,438BABA6,3C02F4C2,B34791DF,BEA3C8AF,414BB58E,00000000,00000000,00000000,00000000,00000000
4,1500.0,27,413B973E,00000000,438C790A,3C0F0BC9,B34B8BBB,BE9E6D45,41437D8A,00000000,00000000,00000000,00000000,00000000
4,1500.0,28,4133FEA4,00000000,438D3E89,3C1B8A25,B34F5E7A,BE9887FA,413B973E,00000000,00000000,00000000,00000000,00000000
4,1500.0,29,412CB030,00000000,438DFC81,3C2867E1,B3530BE8,BE9228B0,4133FEA4,00000000,00000000,00000000,00000000,00000000
4,1500.0,30,4125A8C4,00000000,438EB342,3C359C4B,B3569596,BE8B5EAA,412CB030,00000000,00000000,00000000,00000000,00000000
4,1500.0,31,411EE59D,00000000,438F6314,3C431E56,B359FCE8,BE843893,4125A8C4,00000000,00000000,00000000,00000000,00000000
4,1500.0,32,41186459,00000000,43900C35,3C50E451,B35D4310,BE798908,411EE59D,00000000,00000000,00000000,00000000,00000000
