case,dx,k,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,plglac,pdmfup,pdmfdp,pdpmel,pmflxr,pmflxs,pqsen,plude,pmfdde_rate,pmfude_rate
3,1500.0,6,3CBE910E,00000000,432CAA60,00000000,3698D4C2,00000000,386B343C,00000000,37AFBA04,00000000,00000000,00000000,3821549C,38F7CAAE,36B34537,00000000,3AE87934
3,1500.0,7,3CCD1899,00000000,437A8300,00000000,373E1A24,00000000,389E2894,00000000,37CDC519,00000000,00000000,00000000,3879319E,394A7A02,36CF8C27,00000000,3AE3E5FC
3,1500.0,8,3CDB56DC,00000000,439DDBE0,00000000,37BB6E32,00000000,38C7C0B1,00000000,37E6F0B2,00000000,00000000,00000000,38B00A15,399ACEC6,36E78662,00000000,3AE024DF
3,1500.0,9,3CE958D4,00000000,43B82140,00000000,381DEDA2,00000000,38F107EC,35E1EB60,37FBC68F,00000000,00000000,00000000,38E9C642,39E0AFC1,36FC2454,00000000,3ADCF570
3,1500.0,10,3CF72744,00000000,43CC9000,00000000,386DC786,00000000,390D0444,371AA4D6,37FD9640,00000000,00000000,00000000,39145BF3,3A1C5B3E,36FCB29E,00000000,3ACEF2D6
3,1500.0,11,3D020A36,00000000,43D9EF00,00000000,38A32524,00000000,391EC985,3781D0F6,37EEBE3D,00000000,00000000,00000000,39340EBB,3A524249,36F2C8BD,00000000,3ABFABD4
3,1500.0,12,3D080586,00000000,43E18440,00000000,38D19822,00000000,392C4B5F,37A7E76F,37D8AA8D,00000000,00000000,00000000,3951E683,3A896169,36E46886,00000000,3AB271A8
3,1500.0,13,3D0D952A,00000000,43E4C760,00000000,3900594D,00000000,393539D0,37C4B5D5,37D08F7F,00000000,00000000,00000000,396CFBD5,3AAF3D0D,36D59ED3,00000000,3AA6E415
3,1500.0,14,3D12C532,00000000,43E4ECA0,00000000,39174D4B,00000000,393BDDB0,37E0B9DE,37D3963A,00000000,00000000,00000000,398386E2,3ADBCFB0,36C92289,00000000,3A9D22FC
3,1500.0,15,3D17A1D1,00000000,43E2D160,00000000,392CF0FA,00000000,394216CE,380003C3,37D40E11,00000000,00000000,00000000,3990C046,3B07F34E,36BEACEF,00000000,3A94F71B
3,1500.0,16,3D1C3462,00000000,43DEEAE0,00000000,3940D92D,00000000,3947F121,3810D35D,37D38FFB,00000000,00000000,00000000,399E0127,3B25B379,36B58F3F,00000000,3A8DD7E9
3,1500.0,17,3D20809D,00000000,43D98980,00000000,3952B47C,00000000,394D716C,381CB277,37DF9412,00000000,00000000,00000000,39AB3A27,3B46F50C,36AD42FB,00000000,3A875C55
3,1500.0,18,3D248579,00000000,43D11400,00000000,3963F076,00000000,3952965D,379A4FAC,37E3BA5E,00000000,00000000,00000000,39B93368,3B6B6062,36A566CF,00000000,3A813852
3,1500.0,19,3D283E38,00000000,43CAE760,00000000,39736D40,00000000,395759E1,3753C38F,37E4F6A0,00000000,00000000,00000000,39C76F0E,3B893E2D,369DB336,00000000,3A766806
3,1500.0,20,3D2BA386,00000000,43C558A0,00000000,3980572C,00000000,395BB297,3787C544,37E2EB97,00000000,00000000,00000000,39D5BE78,3B9DD84D,3695F58C,00000000,3A6A4FAC
3,1500.0,21,3D2EACEB,00000000,43BEB300,00000000,398598E6,00000000,395F95A6,37A60AA8,37DF0278,00000000,00000000,00000000,39E3ED31,3BB32506,368E0A49,00000000,3A5DF013
3,1500.0,22,3D31527F,00000000,43B70DE0,00000000,398954F1,00000000,3962F8F5,37C43AB2,37DA28E4,00000000,00000000,00000000,39F1DD58,3BC8BEFD,3685D92F,00000000,3A51235A
3,1500.0,23,3D338E76,00000000,43AE9340,00000000,398B79F6,00000000,3965D512,00000000,37D4726B,00000000,38090DB4,00000000,39FF7FE6,3BD27465,367ABDB6,00000000,3A43E436
3,1500.0,24,3D355AFF,00000000,43A5C0E0,00000000,398BEC60,00000000,3968228E,00000000,37CDE500,00000000,394A9A91,387346EA,39EE5E30,3BCB2CB4,366A4923,00000000,3A370923
3,1500.0,25,3D36B4A5,00000000,439C9440,00000000,398A97E3,00000000,3969DCFC,00000000,372DABBE,00000000,398910E8,39909476,398910E8,3BDF19E2,364FEBFB,00000000,3A2CD28C
3,1500.0,26,3D379824,00000000,43930C80,00000000,3989469F,00000000,395CE1A1,00000000,37003D67,00000000,00000000,3A0F895E,00000000,3C118942,3637C790,00000000,3A24A952
3,1500.0,27,3D37FCB9,00000000,43894C80,00000000,39883626,00000000,394D5963,00000000,36F8843A,00000000,00000000,3A118A54,00000000,3C1DB06E,3621C400,00000000,3A1C8FA9
3,1500.0,28,3D37D945,00000000,437ED9C0,00000000,39860644,00000000,393DF5D5,00000000,36F025D3,00000000,00000000,3A137B5C,00000000,3C2A22F6,360DBC73,00000000,3A148139
3,1500.0,29,3D3725B3,00000000,436B0700,00000000,3982C369,00000000,392ECCB7,00000000,36E75D17,00000000,00000000,3A155BA8,00000000,3C36D89A,35F71F32,00000000,3A0C7C46
3,1500.0,30,3D35DB83,00000000,43574CC0,00000000,397CFB04,00000000,391FF2E5,00000000,36DE2942,00000000,00000000,3A172A62,00000000,3C43C8AA,35D63A49,00000000,3A047FE0
3,1500.0,31,3D33F63F,00000000,4343D240,00000000,397290DC,00000000,39117B9D,00000000,36D4914D,00000000,00000000,3A18E6B5,00000000,3C50EA55,35B8914D,00000000,39F91E56
3,1500.0,32,3D3173F4,00000000,4330BAC0,00000000,396674C0,00000000,390378C9,00000000,36CA9DCE,00000000,00000000,3A1A8FD8,00000000,3C5E3492,359DEAF3,00000000,39E95ACD
3,1500.0,33,3D2E5592,00000000,431E2700,00000000,3958DA2C,00000000,38EBF434,00000000,36C05D00,00000000,00000000,3A1C2514,00000000,3C6B9DC8,35861313,00000000,39D9C0DD
3,1500.0,34,3D2A9F3B,00000000,430C3480,00000000,3949F88C,00000000,38D21C1D,00000000,36B5E165,00000000,00000000,3A1DA5CE,00000000,3C791C15,3561AE32,00000000,39CA5E87
3,1500.0,35,3D26586F,00000000,42F5F700,00000000,393A0BAC,00000000,38B981CB,00000000,36AB4078,00000000,00000000,3A1F1191,00000000,3C835283,353C0D2B,00000000,39BB43A8
3,1500.0,36,3D218C0F,00000000,42D52480,00000000,39295198,00000000,38A239E6,00000000,36A09267,00000000,00000000,3A206812,00000000,3C8A16E5,351AE730,00000000,39AC8232
3,1500.0,37,3D1C4847,00000000,42B60F80,00000000,391808F8,00000000,388C5534,00000000,3695ED82,00000000,00000000,3A21A937,00000000,3C90D540,34FBC494,00000000,399E2B32
3,1500.0,38,3D169E43,00000000,4298D580,00000000,39067234,00000000,386FBFCD,00000000,368B60C7,00000000,00000000,3A22D512,00000000,3C978784,34C95078,00000000,3990502E
3,1500.0,39,3D10A1D7,00000000,427B0B00,00000000,38E99420,00000000,3849C261,00000000,3680E20A,00000000,00000000,3A23EBD4,00000000,3C9E26B4,349DC8CA,00000000,39830056
