case,dx,k,ptent,ptenq,pcte
7,1500.0,47,381C6F49,B3217D29,00000000
7,1500.0,48,372CAA2D,B2A80813,00000000
7,1500.0,49,B84DADF4,B3E50ED2,00000000
8,1500.0,1,00000000,00000000,00000000
8,1500.0,2,00000000,00000000,00000000
8,1500.0,3,343A5421,303ECCEF,00000000
8,1500.0,4,350ED8CD,31124674,00000000
8,1500.0,5,35620C3A,31677910,00000000
8,1500.0,6,3595BCFA,319954F8,00000000
8,1500.0,7,35B6A4DD,31BB0707,00000000
8,1500.0,8,35D47CB9,31D9963F,00000000
8,1500.0,9,35EFCEB7,31F59017,00000000
8,1500.0,10,36048118,3207AF34,00000000
8,1500.0,11,36103351,3213A949,00000000
8,1500.0,12,361B1D40,321ED646,00000000
8,1500.0,13,362557E7,32294FC6,00000000
8,1500.0,14,362EF7A7,32332AA7,00000000
8,1500.0,15,36380D4A,323C781B,00000000
8,1500.0,16,3640A6D9,32454681,00000000
8,1500.0,17,3648D028,324DA1F4,00000000
8,1500.0,18,3650934C,325594C9,00000000
8,1500.0,19,3657F8E6,325D27D5,00000000
8,1500.0,20,365F0870,326462C0,00000000
8,1500.0,21,3665C867,326B4C30,00000000
8,1500.0,22,366C3E74,3271E9F0,00000000
8,1500.0,23,36726F8E,32784114,00000000
8,1500.0,24,36786015,327E5619,00000000
8,1500.0,25,367E13D0,3282166F,00000000
8,1500.0,26,3681C707,3284E461,00000000
8,1500.0,27,368468E9,32879670,00000000
8,1500.0,28,3686F0E3,328A2DF7,00000000
8,1500.0,29,36896024,328CAC2E,00000000
8,1500.0,30,368BB7B6,328F1223,00000000
8,1500.0,31,368DF882,329160C7,00000000
8,1500.0,32,36902356,329398EB,00000000
8,1500.0,33,369238DF,3295BB42,00000000
8,1500.0,34,36942E7F,3297BCED,00000000
8,1500.0,35,3696105B,3299AA59,00000000
8,1500.0,36,3697DED1,329B83E9,00000000
8,1500.0,37,36999A22,329D49DD,00000000
8,1500.0,38,369B4276,329EFC61,00000000
8,1500.0,39,369CD7D3,32A09B78,00000000
8,1500.0,40,369E5A12,32A226FC,00000000
8,1500.0,41,369FC8EB,32A39EA3,00000000
8,1500.0,42,36A123E1,32A501ED,00000000
8,1500.0,43,36A26A36,32A65017,00000000
8,1500.0,44,36A39AC9,32A787F9,00000000
8,1500.0,45,36A4B3EE,32A8A7DE,00000000
8,1500.0,46,36A5B30E,32A9AD1D,00000000
8,1500.0,47,36A693E1,32AA9355,00000000
8,1500.0,48,36A74E19,32AB5205,00000000
8,1500.0,49,36A7C5AC,32ABCC77,00000000
9,1500.0,1,00000000,00000000,00000000
9,1500.0,2,00000000,00000000,00000000
9,1500.0,3,341691A7,301A2EC0,00000000
9,1500.0,4,350683BF,3109BE35,00000000
9,1500.0,5,355A3D9F,315F7A7F,00000000
9,1500.0,6,35921102,31959271,00000000
9,1500.0,7,35B32E0F,31B77AF1,00000000
9,1500.0,8,35D13628,31D63B8E,00000000
9,1500.0,9,35ECB44E,31F2629E,00000000
9,1500.0,10,3603083F,32062D4F,00000000
9,1500.0,11,360ECD61,32123AC1,00000000
9,1500.0,12,3619C8F9,321D79D5,00000000
9,1500.0,13,36241435,3228044F,00000000
9,1500.0,14,362DC395,3231EF31,00000000
9,1500.0,15,3636E7FE,323B4BC5,00000000
9,1500.0,16,363F8F96,32442889,00000000
9,1500.0,17,3647C63C,324C91A6,00000000
9,1500.0,18,364F961D,32549186,00000000
9,1500.0,19,365707E6,325C310D,00000000
9,1500.0,20,365E231E,326377EE,00000000
9,1500.0,21,3664EE4B,326A6CD9,00000000
