case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
3,1500.0,14,437C24CF,3A85ED42,3AC9FE45,4382C29D,3B79F479,3A3191DC,00000000,3F158E39,3ADBCFB0,4717D12A,471333CA,4799A178,47954F79,2
3,1500.0,15,437EE2EE,3AAA7524,3AF90926,4383FFA4,3B936367,3A30107C,00000000,3F158E39,3B07F34E,47210026,471C6E89,4790FD79,478CE983,2
3,1500.0,16,4380BEDF,3AD4817A,3B1796EB,43852075,3BA9CAED,3A2D5098,00000000,3F158E39,3B25B379,472A1768,472591C4,4788D58D,4784F952,2
3,1500.0,17,4381FC7B,3B0225E9,3B36267E,43862B44,3BBFFB57,3A29E731,00000000,3F158E39,3B46F50C,47331678,472E9D0C,47811D16,477AE68E,2
3,1500.0,18,43832BC4,3B1D0381,3B58019B,438724E2,3BD5D14F,3A267FFA,00000000,3F158E39,3B6B6062,473BFCDA,47378FE4,477392F2,476C9B1F,2
3,1500.0,19,43844DEC,3B3AEE23,3B7CD43B,438811FC,3BEB5155,3A2348A5,00000000,3F158E39,3B893E2D,4744CA0D,474069D0,4765A34D,475EFF83,2
3,1500.0,20,438563F7,3B5BF518,3B9214D2,4388F593,3C004251,3A208A92,00000000,3F158E39,3B9DD84D,474D7D88,47492A4A,47585BB9,47520542,2
3,1500.0,21,43866EBE,3B801064,3BA6B6AF,4389CD32,3C0AD610,3A1D2B25,00000000,3F158E39,3BB32506,475616BC,4751D0C6,474BAECB,47459FD2,2
3,1500.0,22,43876F05,3B93B96A,3BBBF770,438A98EF,3C156170,3A19289A,00000000,3F158E39,3BC8BEFD,475E9510,475A5CB1,473F90DA,4739C44C,2
3,1500.0,23,43886554,3BA8EEB6,3BD16E39,438B5998,3C1FD876,3A150B55,00000000,3F158E39,3BDE4FB0,4766F7E1,4762CD6E,4733F7BC,472E6920,2
3,1500.0,24,43895035,3BBFBE8E,3BE6D86D,438C107B,3C2A3E24,3A10D95A,00000000,3F158E39,3BF47A5F,476F3E84,476B2254,4728DA84,472385ED,2
3,1500.0,25,438A3109,3BD8368C,3BFCEF47,438CBEBB,3C3496CF,3A0C8E75,00000000,3F158E39,3C05B597,47776842,47735AB4,471E3156,4719135B,2
3,1500.0,26,438B0939,3BEFDD07,3C09E392,438D6558,3C3EE817,3A0827BA,00000000,3F158E39,3C118942,477F7458,477B75D0,4713F560,470F0AFE,2
3,1500.0,27,438BD937,3C03360E,3C15A8A1,438E0540,3C4939E3,3A03AD34,00000000,3F158E39,3C1DB06E,4783B0FB,4781B970,470A209B,4705671B,2
3,1500.0,28,438CA163,3C0EE833,3C21BF3E,438E9F3B,3C53939D,39FE5052,00000000,3F158E39,3C2A22F6,4787981E,4785A886,4700AD9C,46F84534,2
3,1500.0,29,438D621D,3C1AFDF0,3C2E1FB7,438F33E0,3C5DFA6D,39F53884,00000000,3F158E39,3C36D89A,478B6F1C,478987B5,46EF2F2F,46E671E0,2
3,1500.0,30,438E1BB1,3C276FA5,3C3AC1F8,438FC3A9,3C687266,39EC1607,00000000,3F158E39,3C43C8AA,478F3572,478D5682,46DDB492,46D54C45,2
3,1500.0,31,438ECE62,3C3434E0,3C479D59,43904EF2,3C72FDBE,39E2EFEE,00000000,3F158E39,3C50EA55,4792EA95,47911463,46CCE3F7,46C4CD58,2
3,1500.0,32,438F7A6F,3C41451B,3C54A95C,4390D5FE,3C7D9CB7,39D9D07C,00000000,3F158E39,3C5E3492,47968DEA,4794C0C7,46BCB6BB,46B4EEF4,2
