case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
5,1500.0,1,00000000,00000000,00000000,00000000,43470000,3704242C,00000000,43470000,3704242C
5,1500.0,2,00000000,00000000,00000000,00000000,4352E5C4,386D05D0,00000000,4352E5C4,386D05D0
5,1500.0,3,00000000,00000000,00000000,00000000,434F52EE,37C9A092,00000000,43497275,36F0E4C0
5,1500.0,4,00000000,00000000,00000000,00000000,43526A7D,37EC431B,00000000,434F90DC,376D64DE
5,1500.0,5,00000000,00000000,00000000,00000000,4358A9DB,3857BF9E,00000000,4358A9DB,3857BF9E
5,1500.0,6,00000000,00000000,00000000,00000000,435E3772,38B143C0,00000000,435E3772,38B143C0
5,1500.0,7,00000000,00000000,00000000,00000000,43633482,39067357,00000000,43633482,39067357
5,1500.0,8,00000000,00000000,00000000,00000000,4367BAF6,393FC471,00000000,4367BAF6,393FC471
5,1500.0,9,00000000,00000000,00000000,00000000,436BDEDD,39824E12,00000000,436BDEDD,39824E12
5,1500.0,10,00000000,00000000,00000000,00000000,436FAFD9,39AA636C,00000000,436FAFD9,39AA636C
5,1500.0,11,00000000,00000000,00000000,00000000,43733A42,39E9B55A,00000000,43733A42,39E9B55A
5,1500.0,12,00000000,00000000,00000000,00000000,437687F6,3A1FB765,00000000,437687F6,3A1FB765
5,1500.0,13,00000000,00000000,00000000,00000000,4379A0E8,3A540B7B,00000000,4379A0E8,3A540B7B
5,1500.0,14,00000000,00000000,00000000,00000000,437C8A01,3A89A251,00000000,437C8A01,3A89A251
5,1500.0,15,00000000,00000000,00000000,00000000,437F496C,3AAEED8B,00000000,437F496C,3AAEED8B
5,1500.0,16,00000000,00000000,00000000,00000000,4380F2D1,3AD9D24D,00000000,4380F2D1,3AD9D24D
5,1500.0,17,00000000,00000000,00000000,00000000,43823123,3B0545A2,00000000,43823123,3B0545A2
5,1500.0,18,00000000,00000000,00000000,00000000,43836120,3B20A61F,00000000,43836120,3B20A61F
5,1500.0,19,00000000,00000000,00000000,00000000,438483FE,3B3F1FBC,00000000,438483FE,3B3F1FBC
5,1500.0,20,00000000,00000000,00000000,00000000,43859AB9,3B60C127,00000000,43859AB9,3B60C127
5,1500.0,21,00000000,00000000,00000000,00000000,4386A630,3B82C98C,00000000,4386A630,3B82C98C
5,1500.0,22,00000000,00000000,00000000,00000000,4387A721,3B96CAF8,00000000,4387A721,3B96CAF8
5,1500.0,23,00000000,00000000,00000000,00000000,43889DE2,3BAC5718,00000000,43889DE2,3BAC5718
5,1500.0,24,00000000,00000000,00000000,00000000,438988B6,3BC39A80,00000000,438988B6,3BC39A80
5,1500.0,25,00000000,00000000,00000000,00000000,438A69FB,3BDC7DC0,00000000,438A69FB,3BDC7DC0
5,1500.0,26,00000000,00000000,00000000,00000000,438B429C,3BF4B00A,00000000,438B429C,3BF4B00A
