case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
3,1500.0,37,47A79A06,44B40432,BE29737B,4392D6CE,3C8A82D9,00000000,00000000,40F6DC71,00000000,336BD6B6,38664FAE,47A60021,44BE61D9
3,1500.0,38,47AAC205,449FBAA4,BE190142,43935AE2,3C91C86A,00000000,00000000,40ECB394,00000000,336E653E,3868CEDE,47A933EB,44A9A68C
3,1500.0,39,47ADD1BE,448C5470,BE08A20F,4393D90C,3C9906B1,00000000,00000000,40E2FF0C,00000000,3370D67E,386B3177,47AC501F,4495CEBC
3,1500.0,40,47B0C7B3,4473A461,BDF0DDD3,43945145,3C9FB6D6,00000000,00000000,40D9BF9C,00000000,33732A47,386D774A,47AF535C,4482DA24
3,1500.0,41,47B3A227,44506CAE,BDD0FEE4,4394C375,3CA60DB5,00000000,00000000,40D0F702,00000000,33756028,386F9FE7,47B23C0A,4461947A
3,1500.0,42,47B65F04,442F0AFD,BDB1D969,43952F75,3CAC3BCD,00000000,00000000,40C8A838,00000000,33777762,3871AA96,47B50844,443F44E1
3,1500.0,43,47B8FBC1,440F8E12,BD93A473,4395950A,3CB2360D,00000000,00000000,40C0D7D2,00000000,33796ECD,38739634,47B7B5C4,441ED119
3,1500.0,44,47BB7530,43E418B6,BD6D3AE4,4395F3DB,3CB7EF36,00000000,00000000,40B98CB7,00000000,337B44AB,38756110,47BA41BE,44004B0C
3,1500.0,45,47BDC730,43AD4ECB,BD361893,43964B61,3CBD5673,00000000,00000000,40B2D12F,00000000,337CF669,387708A3,47BCA8A3,43C79B54
3,1500.0,46,47BFEC14,4376493A,BD029548,43969ACD,3CC25563,00000000,00000000,40ACB51E,00000000,337E8006,38788906,47BEE5BD,43930242
3,1500.0,47,47C1DB71,431C7DB8,BCA74D24,4396E0CC,3CC6CB66,00000000,00000000,40A752C9,00000000,337FDAE4,3879DBC3,47C0F26C,43468DEF
3,1500.0,48,47C386CA,429F2C72,BC2B5A4F,43971AC5,3CCA7E48,00000000,00000000,40A2DD1E,00000000,33807D1A,387AF457,47C2C476,42E4DB02
3,1500.0,49,47C4C68E,41B2FBC6,BB41B38B,43974000,3CCCB672,00000000,00000000,40A00000,00000000,3380D959,387BA882,47C4491D,4232FBC6
4,1500.0,1,45C56DA0,46989010,80000000,4346CCCC,37003B33,00000000,00000000,42266007,00000000,80000000,80000000,459C4000,46A22E5B
4,1500.0,2,460BBE28,46884018,80000000,4346CCCC,36B5299E,00000000,00000000,4218AA6A,00000000,80000000,80000000,45EE9B40,468EF1C6
