case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,pdmfup,plrain,klab
4,1500.0,48,439742A5,3CC8B95D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
4,1500.0,49,43974A64,3CCD5B59,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
5,1500.0,1,43470000,3704242C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
5,1500.0,2,432D2964,33C24AE0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
5,1500.0,3,433DE8EB,35E3766D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,4,434B0913,3740FE45,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,5,4355F845,38423C14,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,6,435F420A,390C1448,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,7,43673053,399FA57A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,8,436DF217,3A186C8D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,9,4373AFBF,3A7E08D9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,10,4378915C,3ABEB325,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,11,437CBA1C,3B04694B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,12,43802377,3B2DCA55,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,13,4381ADA4,3B59CFA8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,14,438309F2,3B8395B2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,15,43844311,3B9A7B94,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,16,438560F4,3BB14CB6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,17,438669A6,3BC7D778,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,18,438761D6,3BDDFAA2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,19,43884EA5,3BF3CFA2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,20,43893131,3C04AA38,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,21,438A0771,3C0F6E10,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,22,438AD195,3C1A1FA6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,23,438B90D5,3C24BB88,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,24,438C4679,3C2F453F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,25,438CF3A2,3C39C1CE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,26,438D994C,3C44372F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,27,438E3860,3C4EAD87,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,28,438ED1A3,3C592CB9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,29,438F65AA,3C63BA14,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,30,438FF4EC,3C6E59AD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,31,43907FC1,3C790DCF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,32,4391066A,3C81EB71,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,33,4391890F,3C87598D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,34,439207C2,3C8CCEFF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,35,4392827C,3C92481B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,36,4392F924,3C97BFAB,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,37,43936B8B,3C9D2EB2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,38,4393D96D,3CA28C30,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,39,4394426E,3CA7CD05,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,40,4394A61C,3CACE398,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,41,4395043A,3CB1C641,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,42,43955CB4,3CB66EE3,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,43,4395AF28,3CBAD159,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,44,4395FB01,3CBEDCD6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,45,43963F93,3CC27F4B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
5,1500.0,46,43967C5C,3CC5A52C,322BCC77,3F158E39,482E20E1,3C66EDE0,31C8BAE6,00000000,00000000,2
5,1500.0,47,4396F0E7,3CC69726,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
5,1500.0,48,43975C2F,3CC6FAE8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
5,1500.0,49,439763FA,3CCB8E9B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
6,1500.0,1,435D4000,391DF558,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
6,1500.0,2,4368B412,3A59B75E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
6,1500.0,3,433B0EB3,35890B11,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
6,1500.0,4,43494F19,37140FD1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,5,4354C762,3824F1FB,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,6,435E40BE,38F6F2CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,7,436637B8,398E883F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,8,436D072A,3A09CA2D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
