case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
2,1500.0,11,4372D86B,39E217B0,41ACD40D,00000000,4373F146,3A524831,47B1DCA9,47B71CE9,46EDF550,43803A1D,3B3BD7BD,3B9C22C0,41AE9510,00000000,4372D86B,39E217B0,00000000,00000000,00000000,00000000
2,1500.0,12,437624F3,3A1A9460,41AB3115,00000000,4377444D,3A89652B,47A7B61E,47AC9C6A,47007974,4381CE5D,3B6AD728,3BA20D0D,41ACD40D,00000000,437624F3,3A1A9460,00000000,00000000,00000000,00000000
2,1500.0,13,43793CBC,3A4D4C3F,41A9A869,00000000,437A61EB,3AAF41BB,479E383F,47A2CFD3,4709E1F6,43832ED8,3B8D3046,3BA3D70A,41AB3115,00000000,43793CBC,3A4D4C3F,00000000,00000000,00000000,00000000
2,1500.0,14,437C2513,3A853669,41A836FA,00000000,437D5054,3ADBD588,47954EAE,4799A0AD,471333CA,438468D5,3BA4C818,3BA3D70A,41A9A869,00000000,437C2513,3A853669,00000000,00000000,00000000,00000000
2,1500.0,15,437EE330,3AA9641D,41A6DA44,00000000,43800A52,3B07F6D4,478CE8B9,4790FCAE,471C6E89,4385857A,3BBBEC69,3BA3D70A,41A836FA,00000000,437EE330,3AA9641D,00000000,00000000,00000000,00000000
2,1500.0,16,4380BEFF,3AD3018C,41A5902C,00000000,43815993,3B25B7AD,4784F88A,4788D4C4,472591C4,43868B56,3BD27430,3BA3D70A,41A6DA44,00000000,4380BEFF,3AD3018C,00000000,00000000,00000000,00000000
2,1500.0,17,4381FC9B,3B0123DE,41A456EC,00000000,438297B8,3B46F9D2,477AE506,47811C4F,472E9D0C,43877E46,3BE86411,3BA3D70A,41A5902C,00000000,4381FC9B,3B0123DE,00000000,00000000,00000000,00000000
2,1500.0,18,43832BE4,3B1BB403,41A32D01,00000000,4383C64B,3B6B65DA,476C99A0,4773916D,47378FE4,438855E1,3BFF1111,3BA3D70A,41A456EC,00000000,43832BE4,3B1BB403,00000000,00000000,00000000,00000000
2,1500.0,19,43844E0C,3B3945C8,41A2111F,00000000,4384E69C,3B894111,475EFE0F,4765A1D2,474069D0,438933C5,3C0AEEBE,3BA3D70A,41A32D01,00000000,43844E0C,3B3945C8,00000000,00000000,00000000,00000000
2,1500.0,20,43856416,3B59E7BA,41A10228,00000000,4385F9D0,3B9DDB63,475203DC,47585A4B,47492A4A,438A0F4E,3C164A12,3BA3D70A,41A2111F,00000000,43856416,3B59E7BA,00000000,00000000,00000000,00000000
2,1500.0,21,43866EDC,3B7DA229,419FFF21,00000000,438700E3,3BB32826,47459E7F,474BAD6D,4751D0C6,438ADDBB,3C218403,3BA3D70A,41A10228,00000000,43866EDC,3B7DA229,00000000,00000000,00000000,00000000
2,1500.0,22,43876F21,3B923B5C,419F0732,00000000,4387FCB1,3BC8C210,4739C30D,473F8F91,475A5CB1,438BA039,3C2C946B,3BA3D70A,419FFF21,00000000,43876F21,3B923B5C,00000000,00000000,00000000,00000000
2,1500.0,23,4388656D,3BA72BAD,419E199C,00000000,4388EDFE,3BDE52B8,472E67FB,4733F689,4762CD6E,438C5815,3C377B94,3BA3D70A,419F0732,00000000,4388656D,3BA72BAD,00000000,00000000,00000000,00000000
2,1500.0,24,4389504C,3BBDB098,419D35B7,00000000,4389D572,3BF47D3F,472384E4,4728D96D,476B2254,438D0662,3C4239E2,3BA3D70A,419E199C,00000000,4389504C,3BBDB098,00000000,00000000,00000000,00000000
2,1500.0,25,438A311D,3BD5D78A,419C5AF1,00000000,438AB3A4,3C05B6FF,47191271,471E305B,47735AB4,438DAC0C,3C4CD06A,3BA3D70A,419D35B7,00000000,438A311D,3BD5D78A,00000000,00000000,00000000,00000000
2,1500.0,26,438B094B,3BED5601,419B88C8,00000000,438B8914,3C118A84,470F0A31,4713F485,477B75D0,438E4A09,3C57454C,3B9990FB,419C5AF1,00000000,438B094B,3BED5601,00000000,00000000,00000000,00000000
2,1500.0,27,438BD945,3C01F5AA,419ABECA,00000000,438C563B,3C1DB19F,4705666B,470A1FDD,4781B970,438EE13F,3C61A10F,3B8E7A69,419B88C8,00000000,438BD945,3C01F5AA,00000000,00000000,00000000,00000000
2,1500.0,28,438CA172,3C0DAE42,4199FC8F,00000000,438D1B7E,3C2A23F6,46F84406,4700ACF9,4785A886,438F7247,3C6BE6B4,3B83EAE9,419ABECA,00000000,438CA172,3C0DAE42,00000000,00000000,00000000,00000000
2,1500.0,29,438D6227,3C19CD54,419941BD,00000000,438DD93C,3C36D977,46E670E6,46EF2E1C,478987B5,438FFD9D,3C761832,3B73BF9D,4199FC8F,00000000,438D6227,3C19CD54,00000000,00000000,00000000,00000000
2,1500.0,30,438E1BB9,3C264BA8,41988E03,00000000,438E8FC4,3C43C95F,46D54B78,46DDB3B0,478D5682,439083A4,3C801B1F,3B60AA42,419941BD,00000000,438E1BB9,3C264BA8,00000000,00000000,00000000,00000000
