case,dx,k,pcte,ztp1,ptte,ztt,pqte,zqq,zqp1,qcf,qif,uf,vf,pvom,pvol
4,1500.0,14,32E7909B,437D8E7C,39A7ACF7,B8047FDF,B35D581E,B307ADF3,3A911D36,00000000,00000000,41A136EC,00000000,37BAB4F8,00000000
4,1500.0,15,32DD981D,438029C0,39A2DC39,B80B338B,B3846AF9,B30E8ACC,3ABA522B,00000000,00000000,419A65A6,00000000,37C88AC7,00000000
4,1500.0,16,32D50948,43817956,399EC421,B8118BA4,B39C6488,B31509DF,3AE9E66B,00000000,00000000,4193F188,00000000,37D3ED6F,00000000
4,1500.0,17,32CD4FB8,4382B7CE,399BEFB0,B81790E2,B3B63F60,B31B341B,3B100598,00000000,00000000,418DD1B4,00000000,37DD9498,00000000
4,1500.0,18,32C5FCD6,4383E6B0,3999E49C,B81D4AB5,B3D25E99,B321111C,3B2E71C1,00000000,00000000,4187FE96,00000000,37E5FD22,00000000
4,1500.0,19,32BEBCDF,4385074E,39977ABE,B822BF80,B3F09AC8,B326A76C,3B5042BB,00000000,00000000,418271B3,00000000,37ED660A,00000000
4,1500.0,20,32B75201,43861ACB,3991CC2E,B827F4C2,B4086B82,B32BFCAE,3B757D31,00000000,00000000,417A4ADF,00000000,37F3F9D6,00000000
4,1500.0,21,32AF8D48,43872226,398C16CA,B82CEF48,B419676F,B33115CB,3B8F1026,00000000,00000000,417029D8,00000000,37F9C75E,00000000
4,1500.0,22,32A74BAE,43881E3B,39868B0E,B831B340,B42ADB4C,B335F70A,3BA51292,00000000,00000000,416677D0,00000000,37FED4F3,00000000
4,1500.0,23,329E92FA,43890FCC,3903DB0A,B8364453,B43DE354,B33AA42B,3BBCBFDB,00000000,00000000,415D2D53,00000000,38018E05,00000000
4,1500.0,24,329617BC,4389F783,B932E143,B83AA5BD,B4512F41,B33F2080,3BD60F6A,00000000,00000000,415443CE,00000000,38032458,00000000
