case,dx,k,ptenu,ptenv
15,1500.0,39,00000000,00000000
15,1500.0,40,00000000,00000000
15,1500.0,41,00000000,00000000
15,1500.0,42,00000000,00000000
15,1500.0,43,00000000,00000000
15,1500.0,44,00000000,00000000
15,1500.0,45,00000000,00000000
15,1500.0,46,00000000,00000000
15,1500.0,47,00000000,00000000
15,1500.0,48,00000000,00000000
15,1500.0,49,00000000,00000000
16,1500.0,1,00000000,00000000
16,1500.0,2,00000000,00000000
16,1500.0,3,00000000,00000000
16,1500.0,4,00000000,00000000
16,1500.0,5,00000000,00000000
16,1500.0,6,00000000,00000000
16,1500.0,7,00000000,00000000
16,1500.0,8,00000000,00000000
16,1500.0,9,00000000,00000000
16,1500.0,10,00000000,00000000
16,1500.0,11,00000000,00000000
16,1500.0,12,00000000,00000000
16,1500.0,13,00000000,00000000
16,1500.0,14,00000000,00000000
16,1500.0,15,00000000,00000000
16,1500.0,16,00000000,00000000
16,1500.0,17,00000000,00000000
16,1500.0,18,00000000,00000000
16,1500.0,19,00000000,00000000
16,1500.0,20,00000000,00000000
16,1500.0,21,00000000,00000000
16,1500.0,22,00000000,00000000
16,1500.0,23,00000000,00000000
16,1500.0,24,00000000,00000000
16,1500.0,25,00000000,00000000
16,1500.0,26,00000000,00000000
16,1500.0,27,00000000,00000000
16,1500.0,28,00000000,00000000
16,1500.0,29,00000000,00000000
16,1500.0,30,00000000,00000000
16,1500.0,31,00000000,00000000
16,1500.0,32,00000000,00000000
16,1500.0,33,00000000,00000000
16,1500.0,34,00000000,00000000
16,1500.0,35,00000000,00000000
16,1500.0,36,00000000,00000000
