case,dx,k,ptte
17,1500.0,38,3794EB6B
17,1500.0,39,37975042
17,1500.0,40,B808CEF3
17,1500.0,41,380C3BF2
17,1500.0,42,38039343
17,1500.0,43,37F697FA
17,1500.0,44,37E6E200
17,1500.0,45,37D81F64
17,1500.0,46,37CA7471
17,1500.0,47,37BE1662
17,1500.0,48,37B35F47
17,1500.0,49,37AB3CF7
18,1500.0,1,00000000
18,1500.0,2,00000000
18,1500.0,3,00000000
18,1500.0,4,00000000
18,1500.0,5,00000000
18,1500.0,6,00000000
18,1500.0,7,00000000
18,1500.0,8,34B0D4FE
18,1500.0,9,35CAF525
18,1500.0,10,362E99C3
18,1500.0,11,367263F1
18,1500.0,12,3698C932
18,1500.0,13,36B65C9F
18,1500.0,14,36D22885
18,1500.0,15,36EC5E89
18,1500.0,16,37029412
18,1500.0,17,370E5418
18,1500.0,18,37197E38
18,1500.0,19,37241F29
18,1500.0,20,372E41EE
18,1500.0,21,3737F012
18,1500.0,22,374131ED
18,1500.0,23,374A0ECC
18,1500.0,24,37528D1C
18,1500.0,25,375AB28F
18,1500.0,26,3762842D
18,1500.0,27,376A066B
18,1500.0,28,37713D3C
18,1500.0,29,37782C25
18,1500.0,30,377ED637
18,1500.0,31,37829F19
18,1500.0,32,3785B33B
18,1500.0,33,3788A889
18,1500.0,34,B8506960
18,1500.0,35,37F32802
18,1500.0,36,37EC8E8B
18,1500.0,37,37E603FE
18,1500.0,38,37DF9D92
18,1500.0,39,37D95EEE
18,1500.0,40,37D34C18
18,1500.0,41,37CD699B
18,1500.0,42,37C7BC96
18,1500.0,43,37C24B15
18,1500.0,44,37BD1C62
18,1500.0,45,37B839A7
18,1500.0,46,37B3AF00
18,1500.0,47,37AF8DCE
18,1500.0,48,37ABF28D
18,1500.0,49,37A92343
1,4500.0,1,00000000
1,4500.0,2,BB0D352D
1,4500.0,3,3A45A30F
1,4500.0,4,3A51FF77
1,4500.0,5,3A4BA869
1,4500.0,6,39B9845E
1,4500.0,7,3A31AA74
1,4500.0,8,3A20B093
1,4500.0,9,3A132C2D
1,4500.0,10,3A081764
1,4500.0,11,39FD9FF3
1,4500.0,12,39EE1F78
1,4500.0,13,39E1EFB5
1,4500.0,14,39D91488
1,4500.0,15,39D09A60
1,4500.0,16,39C999F7
1,4500.0,17,39C3E22F
1,4500.0,18,39BF4579
1,4500.0,19,39BC51E1
1,4500.0,20,39BA5724
1,4500.0,21,39B08560
1,4500.0,22,39A786F3
1,4500.0,23,39A102F9
1,4500.0,24,3902037D
1,4500.0,25,B9631D4C
1,4500.0,26,B9863063
1,4500.0,27,398CE096
1,4500.0,28,398A0252
1,4500.0,29,39872820
1,4500.0,30,39842E06
1,4500.0,31,39811CC9
1,4500.0,32,397BB78D
1,4500.0,33,3974D93A
1,4500.0,34,396D8665
1,4500.0,35,3965ABD8
1,4500.0,36,395D675E
1,4500.0,37,39549C56
1,4500.0,38,394B4DCB
