case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
3,1500.0,15,471C6E89,419A43FF,00000000,3D17A1D1,00000000,417E77AF,41A1138C,00000000,00000000,00000000,00000000
3,1500.0,16,472591C4,4193D184,00000000,3D1C3462,00000000,41750428,419A43FF,00000000,00000000,00000000,00000000
3,1500.0,17,472E9D0C,418DB342,00000000,3D20809D,00000000,416C0D1B,4193D184,00000000,00000000,00000000,00000000
3,1500.0,18,47378FE4,4187E1A5,00000000,3D248579,00000000,41638514,418DB342,00000000,00000000,00000000,00000000
3,1500.0,19,474069D0,41825636,00000000,3D283E38,00000000,415B6078,4187E1A5,00000000,00000000,00000000,00000000
3,1500.0,20,47492A4A,417A16B0,00000000,3D2BA386,00000000,41539560,41825636,00000000,00000000,00000000,00000000
3,1500.0,21,4751D0C6,416FF85D,00000000,3D2EACEB,00000000,414C1B7E,417A16B0,00000000,00000000,00000000,00000000
3,1500.0,22,475A5CB1,416648F3,00000000,3D31527F,00000000,4144EC24,416FF85D,00000000,00000000,00000000,00000000
3,1500.0,23,4762CD6E,415D0101,00000000,3D338E76,00000000,413E022F,416648F3,00000000,00000000,00000000,00000000
3,1500.0,24,476B2254,415419F5,00000000,3D355AFF,00000000,41375934,415D0101,00000000,00000000,00000000,00000000
3,1500.0,25,47735AB4,414B8E1E,00000000,3D36B4A5,00000000,4130ED22,415419F5,00000000,00000000,00000000,00000000
3,1500.0,26,477B75D0,41435873,00000000,3D379824,00000000,412AB8E3,414B8E1E,00000000,00000000,00000000,00000000
3,1500.0,27,4781B970,413B746D,00000000,3D37FCB9,00000000,4124B7B0,41435873,00000000,00000000,00000000,00000000
3,1500.0,28,4785A886,4133DE0C,00000000,3D37D945,00000000,411EE6AA,413B746D,00000000,00000000,00000000,00000000
3,1500.0,29,478987B5,412C91C0,00000000,3D3725B3,00000000,4119437B,4133DE0C,00000000,00000000,00000000,00000000
3,1500.0,30,478D5682,41258C6F,00000000,3D35DB83,00000000,4113CC49,412C91C0,00000000,00000000,00000000,00000000
3,1500.0,31,47911463,411ECB54,00000000,3D33F63F,00000000,410E7FA9,41258C6F,00000000,00000000,00000000,00000000
3,1500.0,32,4794C0C7,41184C10,00000000,3D3173F4,00000000,41095C9D,411ECB54,00000000,00000000,00000000,00000000
3,1500.0,33,47985B0D,41120C90,00000000,3D2E5592,00000000,41046287,41184C10,00000000,00000000,00000000,00000000
3,1500.0,34,479BE286,410C0B1A,00000000,3D2A9F3B,00000000,40FF2240,41120C90,00000000,00000000,00000000,00000000
3,1500.0,35,479F5670,41064642,00000000,3D26586F,00000000,40F5D0F4,410C0B1A,00000000,00000000,00000000,00000000
3,1500.0,36,47A2B5F3,4100BCE4,00000000,3D218C0F,00000000,40ECD1E4,41064642,00000000,00000000,00000000,00000000
3,1500.0,37,47A60021,40F6DC71,00000000,3D1C4847,00000000,40E4265F,4100BCE4,00000000,00000000,00000000,00000000
3,1500.0,38,47A933EB,40ECB394,00000000,3D169E43,00000000,40DBD04B,40F6DC71,00000000,00000000,00000000,00000000
3,1500.0,39,47AC501F,40E2FF0C,00000000,3D10A1D7,00000000,40D3D224,40ECB394,00000000,00000000,00000000,00000000
3,1500.0,40,47AF535C,40D9BF9C,00000000,3D0A68F6,00000000,40CC2F09,40E2FF0C,00000000,00000000,00000000,00000000
3,1500.0,41,47B23C0A,40D0F702,00000000,3D03FD6A,00000000,40C4E8B4,40D9BF9C,00000000,00000000,00000000,00000000
3,1500.0,42,47B50844,40C8A838,00000000,3CFAE538,00000000,40BE02EE,40D0F702,00000000,00000000,00000000,00000000
3,1500.0,43,47B7B5C4,40C0D7D2,00000000,3CEDC877,00000000,40B78360,40C8A838,00000000,00000000,00000000,00000000
3,1500.0,44,47BA41BE,40B98CB7,00000000,3CE0DDE7,00000000,40B170F1,40C0D7D2,00000000,00000000,00000000,00000000
3,1500.0,45,47BCA8A3,40B2D12F,00000000,3CD4608E,BB80C710,40ABD442,40B2B07C,00000000,00000000,00000000,00000000
3,1500.0,46,47BEE5BD,40ACB51E,00000000,3CD577F2,BB80C710,40A752C9,40B2B07C,00000000,00000000,00000000,00000000
3,1500.0,47,47C0F26C,40A752C9,00000000,3C90C40B,BB80C710,40ACB51E,40B2B07C,00000000,00000000,00000000,00000000
3,1500.0,48,47C2C476,40A2DD1E,00000000,3C277BEF,BB80C710,40A752C9,40B2B07C,00000000,00000000,00000000,00000000
3,1500.0,49,47C4491D,40A00000,00000000,3B8367DC,BB80C710,40A2DD1E,40B2B07C,00000000,00000000,00000000,00000000
