case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,w_m_s,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
6,3,8, 5.0000000000000000E+000, 7.2654000000000000E+004, 9.1271376609802246E-001, 8.7903696298599243E-001, 2.8488000488281250E+002, 5.0000000000000000E+001,-2.0000000000000000E+000, 1.7697036266326904E-002, 3.1212414550781250E+002, 7.5000000651925802E-004, 4.0000000000000000E+008, 2.4489796800000000E+008, 1.5966560691595078E-002, 3.1679315185546875E+002, 2.4804756976664066E-003, 4.0000000000000000E+008, 2.4489796800000000E+008
7,4,8, 1.0000000000000000E+001, 7.2481000000000000E+004, 9.1209191083908081E-001, 8.7376469373703003E-001, 2.8507000732421875E+002, 8.9000000000000000E+001, 2.0000000000000000E+000, 2.2633682936429977E-002, 3.1254525756835938E+002, 2.5000001187436283E-004, 2.0000000000000000E+007, 1.2244898400000000E+008, 2.0879652351140976E-002, 3.1728015136718750E+002, 2.0040299277752638E-003, 1.4244899200000000E+008, 0.0000000000000000E+000
8,1,9, 3.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.3283902406692505E+000, 2.6200000000000000E+002, 6.0000002384185791E-001, 1.0000000000000000E+001, 1.6315063694491982E-003, 2.6200000000000000E+002, 9.9999999747524271E-007, 9.9999999590400000E+011, 3.6734691200000000E+008, 1.6246974701061845E-003, 2.6201715087890625E+002, 7.8088733062031679E-006, 2.3302878400000000E+008, 2.9086816000000000E+008
9,2,9, 6.0000000000000000E+001, 9.9827000000000000E+004, 9.9950510263442993E-001, 1.3250967264175415E+000, 2.6219000244140625E+002, 1.5000000000000000E+000, 1.0000000149011612E-001, 1.6742310253903270E-003, 2.6231982421875000E+002, 1.0000000474974513E-003, 1.0000000000000000E+003, 4.8979593600000000E+008, 1.6612190520390868E-003, 2.6235260009765625E+002, 1.0130120208486915E-003, 5.0105440000000000E+007, 4.4079577600000000E+008
10,3,9, 1.0000000000000000E+000, 9.9654000000000000E+004, 9.9900954961776733E-001, 1.3217992782592773E+000, 2.6238000488281250E+002, 3.0000000000000000E+000, 3.0000000000000000E+000, 1.7279669409617782E-003, 2.6264013671875000E+002, 9.9999997473787516E-006, 5.0000000000000000E+008, 4.0816328125000000E+005, 1.7174885142594576E-003, 2.6266653442382812E+002, 2.0478437363635749E-005, 5.0040819200000000E+008, 0.0000000000000000E+000
11,4,9, 5.0000000000000000E+000, 9.9481000000000000E+004, 9.9851346015930176E-001, 1.3184307813644409E+000, 2.6257000732421875E+002, 1.0000000000000000E+001, 3.0000000000000000E+001, 1.8768517766147852E-003, 2.6296090698242188E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 0.0000000000000000E+000, 1.7602464649826288E-003, 2.6325482177734375E+002, 6.1660527717322111E-004, 2.4999998400000000E+008, 0.0000000000000000E+000
0,1,10, 1.0000000000000000E+000, 9.1000000000000000E+004, 9.7339719533920288E-001, 1.1740722656250000E+000, 2.6950000000000000E+002, 5.0999999046325684E-001, 5.0000000745058060E-002, 3.2046767883002758E-003, 2.7686538696289062E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 2.0408163200000000E+008, 3.2027810811996460E-003, 2.7687026977539062E+002, 1.0189569002250209E-004, 1.2409155200000000E+008, 1.7999009600000000E+008
1,2,10, 5.0000000000000000E+000, 9.0827000000000000E+004, 9.7286772727966309E-001, 1.1709719896316528E+000, 2.6969000244140625E+002, 7.5000000000000000E-001, 5.0000000000000000E-001, 3.2646448817104101E-003, 2.7721136474609375E+002, 4.9999998736893758E-005, 2.0000000000000000E+008, 4.0816328000000000E+007, 3.2549300231039524E-003, 2.7723632812500000E+002, 5.9714857343351468E-005, 2.4081633600000000E+008, 0.0000000000000000E+000
2,3,10, 1.0000000000000000E+001, 9.0654000000000000E+004, 9.7233760356903076E-001, 1.1678754091262817E+000, 2.6988000488281250E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.3259799238294363E-003, 2.7755792236328125E+002, 1.9999999494757503E-004, 3.0000000000000000E+008, 3.0612243200000000E+008, 3.3064743038266897E-003, 2.7760806274414062E+002, 2.1950571681372821E-004, 3.9729734400000000E+008, 2.0882510400000000E+008
3,4,10, 3.0000000000000000E+001, 9.0481000000000000E+004, 9.7180676460266113E-001, 1.1647646427154541E+000, 2.7007000732421875E+002, 2.0000000000000000E+000, 5.0000000000000000E+000, 3.4134800080209970E-003, 2.7790505981445312E+002, 5.0000002374872565E-004, 5.0000000000000000E+007, 4.0816326400000000E+008, 3.3731888979673386E-003, 2.7800863647460938E+002, 5.4029119201004505E-004, 2.1994934400000000E+008, 2.3821393600000000E+008
4,1,11, 6.0000000000000000E+001, 8.2000000000000000E+004, 9.4484305381774902E-001, 1.0273115634918213E+000, 2.7700000000000000E+002, 5.0000000000000000E+000, 2.0000000000000000E+001, 6.4106625504791737E-003, 2.9317037963867188E+002, 1.0000000474974513E-003, 8.0000000000000000E+008, 8.1632650000000000E+006, 6.2650889158248901E-003, 2.9355270385742188E+002, 1.1455735657364130E-003, 8.0816332800000000E+008, 8.2740230560302734E+000
5,2,11, 1.0000000000000000E+000, 8.1827000000000000E+004, 9.4427275657653809E-001, 1.0238027572631836E+000, 2.7719000244140625E+002, 2.0000000000000000E+001, 0.0000000000000000E+000, 7.4408533982932568E-003, 2.9354864501953125E+002, 3.0000001424923539E-004, 1.5000000000000000E+008, 3.2653062400000000E+008, 7.2511495091021061E-003, 2.9404708862304688E+002, 4.8970384523272514E-004, 1.5000000000000000E+008, 3.2653062400000000E+008
6,3,11, 5.0000000000000000E+000, 8.1654000000000000E+004, 9.4370156526565552E-001, 1.0197007656097412E+000, 2.7738000488281250E+002, 5.0000000000000000E+001,-2.0000000000000000E+000, 9.4461170956492424E-003, 2.9392767333984375E+002, 7.5000000651925802E-004, 4.0000000000000000E+008, 2.4489796800000000E+008, 8.0796685069799423E-003, 2.9751950073242188E+002, 2.1164489444345236E-003, 4.0000000000000000E+008, 2.4489796800000000E+008
7,4,11, 1.0000000000000000E+001, 8.1481000000000000E+004, 9.4312947988510132E-001, 1.0152227878570557E+000, 2.7757000732421875E+002, 8.9000000000000000E+001, 2.0000000000000000E+000, 1.2087522074580193E-002, 2.9430743408203125E+002, 2.5000001187436283E-004, 2.0000000000000000E+007, 1.2244898400000000E+008, 1.0756316594779491E-002, 2.9780810546875000E+002, 1.5812057536095381E-003, 1.4244897600000000E+008, 7.8800439834594727E+000
8,1,12, 3.0000000000000000E+001, 7.3000000000000000E+004, 9.1395431756973267E-001, 8.8770180940628052E-001, 2.8450000000000000E+002, 6.0000002384185791E-001, 1.0000000000000000E+001, 1.1519175022840500E-002, 3.1128469848632812E+002, 9.9999999747524271E-007, 9.9999999590400000E+011, 3.6734691200000000E+008, 1.1495592072606087E-002, 3.1134826660156250E+002, 2.4582839614595287E-005, 7.3358969600000000E+008, 1.3733716800000000E+008
9,2,12, 6.0000000000000000E+001, 7.2827000000000000E+004, 9.1333454847335815E-001, 8.8485831022262573E-001, 2.8469000244140625E+002, 1.5000000000000000E+000, 1.0000000149011612E-001, 1.1797374114394188E-002, 3.1170397949218750E+002, 1.0000000474974513E-003, 1.0000000000000000E+003, 4.8979593600000000E+008, 1.1753486469388008E-002, 3.1182232666015625E+002, 1.0438879253342748E-003, 5.4891180000000000E+007, 4.3601001600000000E+008
10,3,12, 1.0000000000000000E+000, 7.2654000000000000E+004, 9.1271376609802246E-001, 8.8197892904281616E-001, 2.8488000488281250E+002, 3.0000000000000000E+000, 3.0000000000000000E+000, 1.2151964940130711E-002, 3.1212414550781250E+002, 9.9999997473787516E-006, 5.0000000000000000E+008, 4.0816328125000000E+005, 1.2117358855903149E-002, 3.1221752929687500E+002, 4.4606000301428139E-005, 5.0040819200000000E+008, 0.0000000000000000E+000
11,4,12, 5.0000000000000000E+000, 7.2481000000000000E+004, 9.1209191083908081E-001, 8.7875074148178101E-001, 2.8507000732421875E+002, 1.0000000000000000E+001, 3.0000000000000000E+001, 1.3173042796552181E-002, 3.1254525756835938E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 0.0000000000000000E+000, 1.2817630544304848E-002, 3.1350466918945312E+002, 8.5541181033477187E-004, 2.5000000000000000E+008, 0.0000000000000000E+000
