case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,snow_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg
1,3, 6.0000000000000000E+001, 8.3200001716613770E-001, 7.1650000000000000E+004, 9.0908986330032349E-001, 2.5050000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.7555032348632812E+002, 8.5728662088513374E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 2.7555032348632812E+002, 8.5728662088513374E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3, 6.0000000000000000E+001, 8.3400005102157593E-001, 7.1300000000000000E+004, 9.0781807899475098E-001, 2.5100000000000000E+002, 7.9999999798019417E-006, 1.9999999494757503E-005, 2.7648712158203125E+002, 9.0058078058063984E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 4.7746486400000000E+008, 2.7649768066406250E+002, 9.0058078058063984E-004, 4.6606973046436906E-004, 1.7385305600000000E+009, 2.3393028823193163E-004, 4.7746486400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
3,3, 6.0000000000000000E+001, 8.3600002527236938E-001, 7.0950000000000000E+004, 9.0654176473617554E-001, 2.5150000000000000E+002, 1.4999999621068127E-005, 7.9999997979030013E-005, 2.7742791748046875E+002, 9.4588927458971739E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 7.4603885000000000E+006, 2.7743746948242188E+002, 9.4588927458971739E-004, 4.6945031499490142E-004, 2.6565454400000000E+008, 2.3054968914948404E-004, 7.4603885000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
4,3, 6.0000000000000000E+001, 8.3800005912780762E-001, 7.0600000000000000E+004, 9.0526098012924194E-001, 2.5200000000000000E+002, 2.9999999242136255E-005, 1.9999999494757503E-004, 2.7837277221679688E+002, 9.9329848308116198E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.7746484375000000E+005, 2.7838235473632812E+002, 9.9329848308116198E-004, 4.6957170707173645E-004, 3.3215404000000000E+007, 2.3042832617647946E-004, 4.7746484375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
5,3, 6.0000000000000000E+001, 8.4000003337860107E-001, 7.0250000000000000E+004, 9.0397566556930542E-001, 2.5250000000000000E+002, 3.9999998989515007E-005, 5.0000002374872565E-004, 2.7932168579101562E+002, 1.0428979294374585E-003, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 3.0557742187500000E+004, 2.7933129882812500E+002, 1.0428979294374585E-003, 4.6967255184426904E-004, 1.4015759000000000E+007, 2.3032746685203165E-004, 3.0557742187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3, 6.0000000000000000E+001, 8.4200006723403931E-001, 6.9900000000000000E+004, 9.0268576145172119E-001, 2.5300000000000000E+002, 4.9999998736893758E-005, 1.0000000474974513E-003, 2.8027471923828125E+002, 1.0947806295007467E-003, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 3.8197177734375000E+003, 2.8028439331054688E+002, 1.0947806295007467E-003, 4.6962383203208447E-004, 7.1753235000000000E+006, 2.3037617211230099E-004, 3.8197177734375000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
7,3, 6.0000000000000000E+001, 8.4400004148483276E-001, 6.9550000000000000E+004, 9.0139120817184448E-001, 2.5350000000000000E+002, 5.9999998484272510E-005, 3.0000000260770321E-003, 2.8123193359375000E+002, 1.1490429751574993E-003, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 1.4147105407714844E+002, 2.8124166870117188E+002, 1.1490429751574993E-003, 4.6955881407484412E-004, 4.1518117500000000E+006, 2.3044120462145656E-004, 1.4147105407714844E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
8,3, 6.0000000000000000E+001, 8.4600001573562622E-001, 6.9200000000000000E+004, 9.0009200572967529E-001, 2.5000000000000000E+002, 7.0000001869630069E-005, 8.0000003799796104E-003, 2.7774938964843750E+002, 8.4893876919522882E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 7.4603862762451172E+000, 2.7775888061523438E+002, 8.4893876919522882E-004, 4.6948713134042919E-004, 2.6141522500000000E+006, 2.3051288735587150E-004, 7.4603862762451172E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,3, 6.0000000000000000E+001, 8.4800004959106445E-001, 6.8850000000000000E+004, 8.9878809452056885E-001, 2.5050000000000000E+002, 2.4999999368446879E-005, 6.9999997504055500E-004, 2.7870861816406250E+002, 8.9215091429650784E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 1.1136206250000000E+005, 2.7870864868164062E+002, 8.9215091429650784E-004, 8.9999997499035089E-007, 1.1000789843750000E+005, 2.0000999793410301E-003, 1.1136206250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3, 6.0000000000000000E+001, 8.5000002384185791E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.5100000000000000E+002, 4.9999998736893758E-005, 2.0000000949949026E-003, 2.7967211914062500E+002, 9.3739287694916129E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 2.3873236179351807E+000, 2.7967221069335938E+002, 9.3739287694916129E-004, 9.9969340953975916E-004, 1.5274190000000000E+007, 1.3065807706880150E-006, 2.3873236179351807E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,3, 6.0000000000000000E+001, 8.5200005769729614E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.5150000000000000E+002, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.8063995361328125E+002, 9.8475196864455938E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 7.6394366455078125E+002, 2.8070327758789062E+002, 9.8475196864455938E-004, 1.8000000854954123E-003, 6.7143505000000000E+006, 5.2000000141561031E-003, 7.6394366455078125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
