case,column,k,dt_s,rho_kg_m3,dz_m,qg_before,ng_before_per_kg,qvolg_before_m3_per_kg,qg_after,ng_after_per_kg,qvolg_after_m3_per_kg,graupelncv_kg_m2
2,2,11, 1.0000000000000000E+001, 7.6700001955032349E-001, 2.2150000000000000E+002, 1.6801377933006734E-004, 2.9405645751953125E+002, 2.3416554029154213E-007, 1.6190981841646135E-004, 2.7250393676757812E+002, 2.1506363623302605E-007, 1.5208150446414948E-001
2,3,11, 1.0000000000000000E+001, 7.7399998903274536E-001, 2.2500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,11, 1.0000000000000000E+001, 7.8100001811981201E-001, 2.2850000000000000E+002, 1.5999999595806003E-003, 1.1504088640213013E+000, 9.4117640401236713E-006, 7.2253961116075516E-004, 8.6397176980972290E-001, 4.2502329051785637E-006, 6.9841153919696808E-002
2,5,11, 1.0000000000000000E+001, 7.8799998760223389E-001, 2.3200000000000000E+002, 9.9999999392252903E-009, 9.6068733910215087E-006, 2.8368793425492811E-011, 9.8229797629301174E-009, 8.7156921625137329E-001, 2.1654070897492161E-011, 5.7377992135343447E-008
2,6,11, 1.0000000000000000E+001, 7.9500001668930054E-001, 2.3550000000000000E+002, 1.2262132077012211E-004, 4.0397340059280396E-001, 2.2919873288174131E-007, 1.6836915165185928E-004, 3.5121613740921021E-001, 2.5713845275276981E-007, 5.3612179726769682E-006
2,1,12, 1.0000000000000000E+001, 7.0799994468688965E-001, 2.3500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2,12, 1.0000000000000000E+001, 7.1499997377395630E-001, 2.3850000000000000E+002, 1.2825826706830412E-004, 8.0643661499023438E+001, 1.4250917956815101E-007, 8.7825450464151800E-005, 6.9753959655761719E+001, 9.7583829017366952E-008, 1.5208150446414948E-001
2,3,12, 1.0000000000000000E+001, 7.2199994325637817E-001, 2.4200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,12, 1.0000000000000000E+001, 7.2899997234344482E-001, 2.4550000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.9841153919696808E-002
2,5,12, 1.0000000000000000E+001, 7.3599994182586670E-001, 2.4900000000000000E+002, 1.0000000116860974E-007, 1.3221586227416992E+001, 1.8691588554720084E-010, 9.0753587755898479E-008, 1.2722002029418945E+001, 1.6963287718940734E-010, 5.7377992135343447E-008
2,6,12, 1.0000000000000000E+001, 7.4299997091293335E-001, 2.5250000000000000E+002, 2.3298049927689135E-004, 1.8773020803928375E-001, 3.2471149324919679E-007, 5.5600514315301552E-005, 1.1397834122180939E-001, 7.7491996819389897E-008, 5.3612179726769682E-006
3,1,1, 6.0000000000000000E+001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2,1, 6.0000000000000000E+001, 1.2869999408721924E+000, 5.1500000000000000E+001, 2.4999999441206455E-003, 4.3754809570312500E+003, 3.4843205867218785E-006, 7.5538549572229385E-004, 2.1677312011718750E+003, 2.4636842681502458E-006, 5.2080565690994263E-001
