d,h,pu,pq,pthnl,pthl,ptke
 1.0000000000000000E+004, 1.2000000000000000E+001, 9.9999070167541504E-001, 9.9999982118606567E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9999070167541504E-001
 2.0000000000000000E+004, 1.2000000000000000E+001, 9.9999630451202393E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9999630451202393E-001
 5.0000000000000000E+004, 1.2000000000000000E+001, 9.9999898672103882E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9999898672103882E-001
 5.0000000000000000E+001, 2.0000000000000000E+002, 4.7552391886711121E-001, 3.9465877413749695E-001, 3.7100374698638916E-001, 4.4100722670555115E-001, 4.7552391886711121E-001
 1.0000000000000000E+002, 2.0000000000000000E+002, 7.1651619672775269E-001, 7.1348315477371216E-001, 6.4358264207839966E-001, 6.9895464181900024E-001, 7.1651619672775269E-001
 1.5800000000000000E+002, 2.0000000000000000E+002, 8.3767586946487427E-001, 8.6029314994812012E-001, 8.1249803304672241E-001, 8.5064816474914551E-001, 8.3767586946487427E-001
 2.5000000000000000E+002, 2.0000000000000000E+002, 9.1405737400054932E-001, 9.3886721134185791E-001, 9.2718297243118286E-001, 9.4580155611038208E-001, 9.1405737400054932E-001
 5.0000000000000000E+002, 2.0000000000000000E+002, 9.6906596422195435E-001, 9.8395216464996338E-001, 9.9840247631072998E-001, 9.9762916564941406E-001, 9.6906596422195435E-001
 7.0700000000000000E+002, 2.0000000000000000E+002, 9.8153954744338989E-001, 9.9190616607666016E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8153954744338989E-001
 1.0000000000000000E+003, 2.0000000000000000E+002, 9.8895370960235596E-001, 9.9593722820281982E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8895370960235596E-001
 1.4140000000000000E+003, 2.0000000000000000E+002, 9.9335253238677979E-001, 9.9796372652053833E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9335253238677979E-001
 2.0000000000000000E+003, 2.0000000000000000E+002, 9.9597746133804321E-001, 9.9898105859756470E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9597746133804321E-001
 3.1620000000000000E+003, 2.0000000000000000E+002, 9.9790954589843750E-001, 9.9959206581115723E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9790954589843750E-001
 5.0000000000000000E+003, 2.0000000000000000E+002, 9.9890369176864624E-001, 9.9983680248260498E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9890369176864624E-001
 1.0000000000000000E+004, 2.0000000000000000E+002, 9.9958097934722900E-001, 9.9995923042297363E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9958097934722900E-001
 2.0000000000000000E+004, 2.0000000000000000E+002, 9.9983775615692139E-001, 9.9998980760574341E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9983775615692139E-001
 5.0000000000000000E+004, 2.0000000000000000E+002, 9.9995315074920654E-001, 9.9999833106994629E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9995315074920654E-001
 5.0000000000000000E+001, 5.0000000000000000E+002, 2.2475466132164001E-001, 1.2068966031074524E-001, 1.3438916206359863E-001, 1.9736063480377197E-001, 2.2475466132164001E-001
 1.0000000000000000E+002, 5.0000000000000000E+002, 4.0071654319763184E-001, 3.0136987566947937E-001, 2.9802674055099487E-001, 3.6935180425643921E-001, 4.0071654319763184E-001
 1.5800000000000000E+002, 5.0000000000000000E+002, 5.5898612737655640E-001, 5.0450801849365234E-001, 4.5765653252601624E-001, 5.2437496185302734E-001, 5.5898612737655640E-001
