name,value,bits
powf_fwet_242,9.631829858E-01,3F769329
powf_fwet_243,9.658358693E-01,3F774105
powf_fwet_244,9.684851170E-01,3F77EEA4
powf_fwet_245,9.711307883E-01,3F789C07
powf_fwet_246,9.737728238E-01,3F79492D
powf_fwet_247,9.764113426E-01,3F79F618
powf_fwet_248,9.790462852E-01,3F7AA2C7
powf_fwet_249,9.816776514E-01,3F7B4F3A
powf_fwet_250,9.843055606E-01,3F7BFB73
powf_fwet_251,9.869298935E-01,3F7CA770
powf_fwet_252,9.895508289E-01,3F7D5334
powf_fwet_253,9.921682477E-01,3F7DFEBD
powf_fwet_254,9.947822690E-01,3F7EAA0D
powf_fwet_255,9.973928332E-01,3F7F5523
powf_fwet_256,1.000000000E+00,3F800000
powf_wdf_0,3.311314371E-14,291520DB
powf_wcnd_0,1.096480173E-25,1607BCD8
powf_wdf_1,1.574053388E-12,2BDD8740
powf_wcnd_1,1.397085664E-22,1B28E5B5
powf_wdf_2,1.805060615E-11,2D9EC65A
powf_wcnd_2,1.279310427E-20,1E71A7A8
powf_wdf_3,1.078317227E-10,2EED1FDD
powf_wcnd_3,3.501983636E-19,20CEB87B
powf_wdf_4,4.422805733E-10,2FF32575
powf_wcnd_4,4.778311379E-18,22B049E0
powf_wdf_5,1.419888762E-09,30C325E5
powf_wcnd_5,4.142195591E-17,243F066A
powf_wdf_6,3.836594598E-09,3183D30B
powf_wcnd_6,2.609543604E-16,25966E11
powf_wdf_7,9.121746025E-09,321CB5DD
powf_wcnd_7,1.297247264E-15,26BAF3FA
powf_wdf_8,1.964875196E-08,32A8C810
powf_wcnd_8,5.371456470E-15,27C186F1
powf_wdf_9,3.912901647E-08,33280ECF
powf_wcnd_9,1.923240823E-14,28AD3AEA
powf_wdf_10,7.309751737E-08,339CF9C9
powf_wcnd_10,6.117492851E-14,2989C0F2
powf_wdf_11,1.294981473E-07,340B0C2E
powf_wcnd_11,1.763788497E-13,2A4695BE
powf_wdf_12,2.193762896E-07,346B8DB2
powf_wcnd_12,4.680944217E-13,2B03C1C2
powf_wdf_13,3.576871563E-07,34C00826
powf_wcnd_13,1.157338114E-12,2BA2E180
