band,i,x_bits,y_bits,x,y
coarse,261,C2320AE1,1F5C8441,-4.451062393E+01,4.669620997E-20
coarse,262,C23208F6,1F5CEE17,-4.450875092E+01,4.678375540E-20
coarse,263,C232070A,1F5D5857,-4.450687408E+01,4.687164334E-20
coarse,264,C232051F,1F5DC293,-4.450500107E+01,4.695951836E-20
coarse,265,C2320333,1F5E2D39,-4.450312424E+01,4.704773588E-20
coarse,266,C2320148,1F5E97DA,-4.450125122E+01,4.713593724E-20
coarse,267,C231FF5C,1F5F02E7,-4.449937439E+01,4.722448757E-20
coarse,268,C231FD71,1F5F6DEF,-4.449750137E+01,4.731302175E-20
coarse,269,C231FB85,1F5FD963,-4.449562454E+01,4.740190489E-20
coarse,270,C231F99A,1F6044D2,-4.449375153E+01,4.749077187E-20
coarse,271,C231F7AE,1F60B0AD,-4.449187469E+01,4.757998783E-20
coarse,272,C231F5C3,1F611C84,-4.449000168E+01,4.766919086E-20
coarse,273,C231F3D7,1F6188C6,-4.448812485E+01,4.775873962E-20
coarse,274,C231F1EC,1F61F505,-4.448625183E+01,4.784827869E-20
coarse,275,C231F000,1F6261AF,-4.448437500E+01,4.793816349E-20
coarse,276,C231EE14,1F62CE8F,-4.448249817E+01,4.802822278E-20
coarse,277,C231EC29,1F633B69,-4.448062515E+01,4.811826269E-20
coarse,278,C231EA3D,1F63A8B1,-4.447874832E+01,4.820865802E-20
coarse,279,C231E852,1F6415F4,-4.447687531E+01,4.829903719E-20
coarse,280,C231E666,1F6483A5,-4.447499847E+01,4.838977180E-20
coarse,281,C231E47B,1F64F152,-4.447312546E+01,4.848049348E-20
coarse,282,C231E28F,1F655F6C,-4.447124863E+01,4.857156736E-20
coarse,283,C231E0A4,1F65CD82,-4.446937561E+01,4.866262831E-20
coarse,284,C231DEB8,1F663C06,-4.446749878E+01,4.875404469E-20
coarse,285,C231DCCD,1F66AA86,-4.446562576E+01,4.884544815E-20
coarse,286,C231DAE1,1F671975,-4.446374893E+01,4.893721027E-20
coarse,287,C231D8F6,1F67885F,-4.446187592E+01,4.902895623E-20
coarse,288,C231D70A,1F67F7B8,-4.445999908E+01,4.912106085E-20
coarse,289,C231D51F,1F68670D,-4.445812607E+01,4.921315255E-20
coarse,290,C231D333,1F68D6D1,-4.445624924E+01,4.930560291E-20
coarse,291,C231D148,1F694691,-4.445437622E+01,4.939804034E-20
coarse,292,C231CF5C,1F69B6C1,-4.445249939E+01,4.949083967E-20
coarse,293,C231CD71,1F6A26EC,-4.445062637E+01,4.958362283E-20
coarse,294,C231CB85,1F6A9788,-4.444874954E+01,4.967677113E-20
coarse,295,C231C99A,1F6B081F,-4.444687653E+01,4.976990326E-20
coarse,296,C231C7AE,1F6B7927,-4.444499969E+01,4.986340052E-20
coarse,297,C231C5C3,1F6BEA2A,-4.444312668E+01,4.995688162E-20
coarse,298,C231C3D7,1F6C5B9F,-4.444124985E+01,5.005073108E-20
coarse,299,C231C1EC,1F6CCD0F,-4.443937683E+01,5.014456438E-20
coarse,300,C231C000,1F6D3EF1,-4.443750000E+01,5.023876604E-20
coarse,301,C231BE14,1F6DB10A,-4.443562317E+01,5.033314540E-20
coarse,302,C231BC29,1F6E231E,-4.443375015E+01,5.042750862E-20
coarse,303,C231BA3D,1F6E95A4,-4.443187332E+01,5.052224019E-20
