case,role,name,hex,value
veg_warm_night_rain,seed,LAI,405291A0,  3.290138245E+00
veg_warm_night_rain,seed,SAI,3F5A3B2D,  8.524654508E-01
veg_warm_night_rain,seed,SOLDN,00000000,  0.000000000E+00
veg_warm_night_rain,seed,PRCPCONV,00000000,  0.000000000E+00
veg_warm_night_rain,seed,PRCPNONC,3A9D4952,  1.200000057E-03
veg_warm_night_rain,seed,PRCPSHCV,00000000,  0.000000000E+00
veg_warm_night_rain,seed,PRCPSNOW,00000000,  0.000000000E+00
veg_warm_night_rain,seed,PRCPGRPL,00000000,  0.000000000E+00
veg_warm_night_rain,seed,PRCPHAIL,00000000,  0.000000000E+00
veg_warm_night_rain,seed,SNODEP,00000000,  0.000000000E+00
veg_warm_night_rain,seed,SWE,00000000,  0.000000000E+00
veg_warm_night_rain,seed,TROOT,43914000,  2.905000000E+02
veg_warm_night_rain,seed,BDFALL,42F00000,  1.200000000E+02
veg_warm_night_rain,seed,RAIN,3A9D4952,  1.200000057E-03
veg_warm_night_rain,seed,SNOWFALL,00000000,  0.000000000E+00
veg_warm_night_rain,seed,FP,3F06BCA2,  5.263158083E-01
veg_warm_night_rain,seed,FPICE,00000000,  0.000000000E+00
veg_warm_night_rain,seed,QRAIN,3A361F00,  6.947368383E-04
veg_warm_night_rain,seed,SNOWHIN,00000000,  0.000000000E+00
veg_warm_night_rain,seed,CMC,3DA47C9C,  8.031579852E-02
veg_warm_night_rain,seed,QINTR,3A0473A4,  5.052632187E-04
veg_warm_night_rain,seed,QDRIPR,39EE69BE,  4.547368153E-04
veg_warm_night_rain,seed,QTHROR,397BA882,  2.399999939E-04
veg_warm_night_rain,seed,QINTS,00000000,  0.000000000E+00
veg_warm_night_rain,seed,QDRIPS,00000000,  0.000000000E+00
veg_warm_night_rain,seed,QTHROS,00000000,  0.000000000E+00
veg_warm_night_rain,seed,SWDOWN,00000000,  0.000000000E+00
veg_warm_night_rain,seed,QPRECC,38FBA883,  1.200000042E-04
veg_warm_night_rain,seed,QPRECL,3A8D8ECA,  1.080000075E-03
veg_warm_night_rain,in,ICE,00000000,                0
veg_warm_night_rain,in,IST,00000001,                1
veg_warm_night_rain,in,ISNOW,00000000,                0
veg_warm_night_rain,in,ILOC,00000001,                1
veg_warm_night_rain,in,JLOC,00000001,                1
veg_warm_night_rain,in,DT,42700000,  6.000000000E+01
veg_warm_night_rain,in,RHOAIR,3F925530,  1.143224716E+00
veg_warm_night_rain,in,SFCPRS,47BBE400,  9.620000000E+04
veg_warm_night_rain,in,QAIR,3C47E282,  1.219999976E-02
veg_warm_night_rain,in,SFCTMP,43918000,  2.910000000E+02
