# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
4050CCCD,4440EBF0,4447311E,425A5C70,42801ADC
4051999A,4441179F,44476466,425A882C,428038DA
40526666,44414355,444797B9,425AB3EF,428056DD
40528EB5,44414BF1,4447A1D4,425ABC8C,42805CC7
40533333,44416F14,4447CB18,425ADFB8,428074E7
40540000,44419ADE,4447FE84,425B0B8A,428092F7
4054CCCD,4441C6AE,444831FB,425B3762,4280B10E
4055999A,4441F288,4448657F,425B6343,4280CF2B
40566666,44421E6B,4448990F,425B8F2A,4280ED4E
40573333,44424A56,4448CCAA,425BBB1B,42810B78
40577F6F,44425AB2,4448DFE2,425BCB78,428116B3
40580000,4442764B,44490051,425BE712,428129A8
4058CCCD,4442A248,44493405,425C1310,428147DD
4059999A,4442CE4E,444967C4,425C3F16,4281661A
405A6666,4442FA5D,44499B8F,425C6B24,4281845D
405B3333,44432674,4449CF67,425C973A,4281A2A6
405C0000,44435294,444A034C,425CC358,4281C0F5
405CCCCD,44437EBE,444A373B,425CEF7C,4281DF4B
405D660B,44439FCE,444A5E21,425D1089,4281F602
405D999A,4443AAF0,444A6B38,425D1BA8,4281FDA7
405E6666,4443D72A,444A9F3F,425D47DC,42821C09
405F3333,4444036E,444AD354,425D7417,42823A72
40600000,44442FBB,444B0774,425DA05A,428258E1
4060CCCD,44445C10,444B3BA0,425DCCA5,42827756
4061999A,4444886F,444B6FD9,425DF8F8,428295D2
40626666,4444B4D5,444BA41E,425E2551,4282B454
