temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.3800000000000000E+002, 1.0000000000000000E+002, 2.0000000000000000E+010, 9.5796979200000000E+008
 2.3800000000000000E+002, 2.0000000000000000E+002, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.3800000000000000E+002, 2.0000000000000000E+002, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.3800000000000000E+002, 2.0000000000000000E+002, 1.1100000000000000E+007, 1.1092253000000000E+007
 2.3800000000000000E+002, 2.0000000000000000E+002, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.3800000000000000E+002, 2.0000000000000000E+002, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.3800000000000000E+002, 2.0000000000000000E+002, 3.1600000000000000E+008, 3.1577942400000000E+008
 2.3800000000000000E+002, 2.0000000000000000E+002, 1.0000000000000000E+009, 9.9930195200000000E+008
 2.3800000000000000E+002, 2.0000000000000000E+002, 3.1600000000000000E+009, 3.1577034240000000E+009
 2.3800000000000000E+002, 2.0000000000000000E+002, 1.0000000000000000E+010, 4.7898489600000000E+008
 2.3800000000000000E+002, 2.0000000000000000E+002, 2.0000000000000000E+010, 9.5796979200000000E+008
 2.4314999389648438E+002, 4.9999998882412910E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.4314999389648438E+002, 4.9999998882412910E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.4314999389648438E+002, 4.9999998882412910E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.4314999389648438E+002, 4.9999998882412910E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.4314999389648438E+002, 4.9999998882412910E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.4314999389648438E+002, 4.9999998882412910E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
 2.4314999389648438E+002, 4.9999998882412910E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.4314999389648438E+002, 4.9999998882412910E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.4314999389648438E+002, 4.9999998882412910E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.4314999389648438E+002, 4.9999998882412910E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
 2.4314999389648438E+002, 9.9999997764825821E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.4314999389648438E+002, 9.9999997764825821E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.4314999389648438E+002, 9.9999997764825821E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.4314999389648438E+002, 9.9999997764825821E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.4314999389648438E+002, 9.9999997764825821E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.4314999389648438E+002, 9.9999997764825821E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
