max_cfl,target_cfl,mif,precision,last_S,last_Sn,last_Sd,out_S,out_Sn,out_Sd,out_real
 0.129999995E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.129999995E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.129999995E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.150000000E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,21,0,1, 0.210000000E+02
 0.150000000E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,21,0,1, 0.210000000E+02
 0.150000000E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,21,0,1, 0.210000000E+02
 0.150000000E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,10,1,5, 0.101999998E+02
 0.150000000E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,10,1,5, 0.101999998E+02
 0.150000000E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,10,1,5, 0.101999998E+02
 0.150000000E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.150000000E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.150000000E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.150000000E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.150000000E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.150000000E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.179999995E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,15,0,1, 0.150000000E+02
 0.179999995E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,15,0,1, 0.150000000E+02
 0.179999995E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,15,0,1, 0.150000000E+02
 0.179999995E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,6,0,1, 0.600000000E+01
 0.179999995E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,6,0,1, 0.600000000E+01
 0.179999995E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,6,0,1, 0.600000000E+01
 0.179999995E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,33,3,10, 0.332999992E+02
 0.179999995E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,33,3,10, 0.332999992E+02
 0.179999995E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,33,3,10, 0.332999992E+02
 0.179999995E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.179999995E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.179999995E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.200000000E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,12,0,1, 0.120000000E+02
 0.200000000E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,12,0,1, 0.120000000E+02
 0.200000000E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,12,0,1, 0.120000000E+02
 0.200000000E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,3,9,10, 0.390000010E+01
 0.200000000E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,3,9,10, 0.390000010E+01
 0.200000000E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,3,9,10, 0.390000010E+01
 0.200000000E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.200000000E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.200000000E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.200000000E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.200000000E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.200000000E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,3,0,1, 0.300000000E+01
 0.300000000E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,3,0,1, 0.300000000E+01
