field,step,k,j,i,value,bits
msfux,0,0,3,2, 1.018640757E+000,1065509586
msfux,0,0,3,3, 1.019949913E+000,1065520568
msfux,0,0,3,4, 1.019477010E+000,1065516601
msfux,0,0,3,5, 1.017264128E+000,1065498038
msfux,0,0,3,6, 1.013509274E+000,1065466540
msfux,0,0,3,7, 1.008547544E+000,1065424918
msfux,0,0,3,8, 1.002822399E+000,1065376892
msfux,0,0,3,9, 9.968450665E-001,1065300285
msfux,0,0,3,10, 9.911496043E-001,1065204731
msfux,0,0,3,11, 9.862446785E-001,1065122440
msfux,0,0,3,12, 9.825685024E-001,1065060764
msfux,0,0,3,13, 9.804493785E-001,1065025211
msfux,0,0,3,14, 9.800767303E-001,1065018959
msfux,0,0,3,15, 9.814836979E-001,1065042564
msfux,0,0,4,1, 1.017824173E+000,1065502736
msfux,0,0,4,2, 1.019708991E+000,1065518547
msfux,0,0,4,3, 1.019833326E+000,1065519590
msfux,0,0,4,4, 1.018185973E+000,1065505771
msfux,0,0,4,5, 1.014914155E+000,1065478325
msfux,0,0,4,6, 1.010310054E+000,1065439703
msfux,0,0,4,7, 1.004784942E+000,1065393355
msfux,0,0,4,8, 9.988325238E-001,1065333629
msfux,0,0,4,9, 9.929843545E-001,1065235513
msfux,0,0,4,10, 9.877628684E-001,1065147911
msfux,0,0,4,11, 9.836344719E-001,1065078648
msfux,0,0,4,12, 9.809679389E-001,1065033911
msfux,0,0,4,13, 9.800015092E-001,1065017697
msfux,0,0,4,14, 9.808214903E-001,1065031454
msfux,0,0,4,15, 9.833546281E-001,1065073953
msfux,0,0,5,1, 1.019271135E+000,1065514874
msfux,0,0,5,2, 1.019991517E+000,1065520917
msfux,0,0,5,3, 1.018926024E+000,1065511979
msfux,0,0,5,4, 1.016169906E+000,1065488859
msfux,0,0,5,5, 1.011969447E+000,1065453623
msfux,0,0,5,6, 1.006699800E+000,1065409418
msfux,0,0,5,7, 1.000831604E+000,1065360192
msfux,0,0,5,8, 9.948891997E-001,1065267471
msfux,0,0,5,9, 9.894032478E-001,1065175432
msfux,0,0,5,10, 9.848639369E-001,1065099275
msfux,0,0,5,11, 9.816766977E-001,1065045802
msfux,0,0,5,12, 9.801262021E-001,1065019789
msfux,0,0,5,13, 9.803509712E-001,1065023560
msfux,0,0,5,14, 9.823309183E-001,1065056778
msfux,0,0,5,15, 9.858891964E-001,1065116476
msfux,0,0,6,1, 1.019949913E+000,1065520568
msfux,0,0,6,2, 1.019477010E+000,1065516601
msfux,0,0,6,3, 1.017264128E+000,1065498038
msfux,0,0,6,4, 1.013509274E+000,1065466540
msfux,0,0,6,5, 1.008547544E+000,1065424918
msfux,0,0,6,6, 1.002822399E+000,1065376892
msfux,0,0,6,7, 9.968450665E-001,1065300285
msfux,0,0,6,8, 9.911496043E-001,1065204731
msfux,0,0,6,9, 9.862446785E-001,1065122440
msfux,0,0,6,10, 9.825685024E-001,1065060764
msfux,0,0,6,11, 9.804493785E-001,1065025211
msfux,0,0,6,12, 9.800767303E-001,1065018959
msfux,0,0,6,13, 9.814836979E-001,1065042564
msfux,0,0,6,14, 9.845446944E-001,1065093919
msfux,0,0,6,15, 9.889863133E-001,1065168437
msfux,0,0,7,1, 1.019833326E+000,1065519590
msfux,0,0,7,2, 1.018185973E+000,1065505771
msfux,0,0,7,3, 1.014914155E+000,1065478325
msfux,0,0,7,4, 1.010310054E+000,1065439703
msfux,0,0,7,5, 1.004784942E+000,1065393355
msfux,0,0,7,6, 9.988325238E-001,1065333629
msfux,0,0,7,7, 9.929843545E-001,1065235513
msfux,0,0,7,8, 9.877628088E-001,1065147910
msfux,0,0,7,9, 9.836344719E-001,1065078648
msfux,0,0,7,10, 9.809679389E-001,1065033911
msfux,0,0,7,11, 9.800015092E-001,1065017697
msfux,0,0,7,12, 9.808214903E-001,1065031454
msfux,0,0,7,13, 9.833546281E-001,1065073953
msfux,0,0,7,14, 9.873746634E-001,1065141398
msfux,0,0,7,15, 9.925224781E-001,1065227764
msfux,0,0,8,1, 1.018926024E+000,1065511979
msfux,0,0,8,2, 1.016169906E+000,1065488859
msfux,0,0,8,3, 1.011969447E+000,1065453623
msfux,0,0,8,4, 1.006699800E+000,1065409418
msfux,0,0,8,5, 1.000831604E+000,1065360192
msfux,0,0,8,6, 9.948891997E-001,1065267471
msfux,0,0,8,7, 9.894032478E-001,1065175432
msfux,0,0,8,8, 9.848639369E-001,1065099275
msfux,0,0,8,9, 9.816766977E-001,1065045802
msfux,0,0,8,10, 9.801262021E-001,1065019789
msfux,0,0,8,11, 9.803509712E-001,1065023560
msfux,0,0,8,12, 9.823309183E-001,1065056778
msfux,0,0,8,13, 9.858891964E-001,1065116476
msfux,0,0,8,14, 9.907079339E-001,1065197321
msfux,0,0,8,15, 9.963567257E-001,1065292092
msfux,0,0,9,1, 1.017264128E+000,1065498038
msfux,0,0,9,2, 1.013509274E+000,1065466540
msfux,0,0,9,3, 1.008547544E+000,1065424918
msfux,0,0,9,4, 1.002822399E+000,1065376892
msfux,0,0,9,5, 9.968450665E-001,1065300285
msfux,0,0,9,6, 9.911496043E-001,1065204731
msfux,0,0,9,7, 9.862446785E-001,1065122440
msfux,0,0,9,8, 9.825685024E-001,1065060764
msfux,0,0,9,9, 9.804493785E-001,1065025211
msfux,0,0,9,10, 9.800767303E-001,1065018959
msfux,0,0,9,11, 9.814836979E-001,1065042564
msfux,0,0,9,12, 9.845446944E-001,1065093919
msfux,0,0,9,13, 9.889863133E-001,1065168437
msfux,0,0,9,14, 9.944117069E-001,1065259460
msfux,0,0,9,15, 1.000336289E+000,1065356037
