field,step,k,j,i,value,bits
uh,2,0,5,12, 0.000000000E+000,0
up_heli_max,2,0,5,12, 0.000000000E+000,0
uh,2,0,5,13, 0.000000000E+000,0
up_heli_max,2,0,5,13, 0.000000000E+000,0
uh,2,0,5,14, 0.000000000E+000,0
up_heli_max,2,0,5,14, 0.000000000E+000,0
uh,2,0,6,1, 0.000000000E+000,0
up_heli_max,2,0,6,1, 0.000000000E+000,0
uh,2,0,6,2,-1.094773483E+001,-1053873684
up_heli_max,2,0,6,2, 0.000000000E+000,0
uh,2,0,6,3,-4.279864883E+001,-1037356591
up_heli_max,2,0,6,3, 0.000000000E+000,0
uh,2,0,6,4,-2.265137100E+001,-1045088766
up_heli_max,2,0,6,4, 9.208386230E+001,1119365872
uh,2,0,6,5, 4.235190735E+002,1137951345
up_heli_max,2,0,6,5, 6.056056519E+002,1142384323
uh,2,0,6,6, 9.606110229E+002,1148200731
up_heli_max,2,0,6,6, 9.952484131E+002,1148768230
uh,2,0,6,7, 4.180681458E+002,1137772729
up_heli_max,2,0,6,7, 6.046723633E+002,1142369032
uh,2,0,6,8,-1.737200546E+001,-1047856674
up_heli_max,2,0,6,8, 9.864935303E+001,1120226424
uh,2,0,6,9,-2.213664246E+001,-1045358632
up_heli_max,2,0,6,9, 0.000000000E+000,0
uh,2,0,6,10, 0.000000000E+000,0
up_heli_max,2,0,6,10, 0.000000000E+000,0
uh,2,0,6,11, 0.000000000E+000,0
up_heli_max,2,0,6,11, 0.000000000E+000,0
uh,2,0,6,12, 0.000000000E+000,0
up_heli_max,2,0,6,12, 0.000000000E+000,0
uh,2,0,6,13, 0.000000000E+000,0
up_heli_max,2,0,6,13, 0.000000000E+000,0
uh,2,0,6,14, 0.000000000E+000,0
up_heli_max,2,0,6,14, 0.000000000E+000,0
uh,2,0,7,1, 0.000000000E+000,0
up_heli_max,2,0,7,1, 0.000000000E+000,0
uh,2,0,7,2,-1.422890472E+001,-1050433128
up_heli_max,2,0,7,2, 0.000000000E+000,0
uh,2,0,7,3,-5.180456543E+001,-1034995744
up_heli_max,2,0,7,3, 0.000000000E+000,0
uh,2,0,7,4, 1.204428482E+001,1094759780
up_heli_max,2,0,7,4, 1.609586792E+002,1126233452
uh,2,0,7,5, 9.806058350E+002,1148528326
up_heli_max,2,0,7,5, 1.000201904E+003,1148849388
uh,2,0,7,6, 4.243977539E+003,1166319570
up_heli_max,2,0,7,6, 1.649812378E+003,1154365951
uh,2,0,7,7, 9.693795166E+002,1148344394
up_heli_max,2,0,7,7, 9.970650635E+002,1148797994
uh,2,0,7,8, 1.710801315E+001,1099488566
up_heli_max,2,0,7,8, 1.645018463E+002,1126465657
uh,2,0,7,9,-3.837068939E+001,-1038517354
up_heli_max,2,0,7,9, 0.000000000E+000,0
uh,2,0,7,10, 0.000000000E+000,0
up_heli_max,2,0,7,10, 0.000000000E+000,0
uh,2,0,7,11, 0.000000000E+000,0
up_heli_max,2,0,7,11, 0.000000000E+000,0
uh,2,0,7,12, 0.000000000E+000,0
up_heli_max,2,0,7,12, 0.000000000E+000,0
uh,2,0,7,13, 0.000000000E+000,0
up_heli_max,2,0,7,13, 0.000000000E+000,0
uh,2,0,7,14, 0.000000000E+000,0
