k,tbq
1025,0.283764079E-1
1026,0.285502411E-1
1027,0.287250858E-1
1028,0.289009474E-1
1029,0.290777739E-1
1030,0.292556249E-1
1031,0.294344518E-1
1032,0.296143144E-1
1033,0.297951661E-1
1034,0.299770627E-1
1035,0.301600117E-1
1036,0.303439610E-1
1037,0.305289757E-1
1038,0.307150595E-1
1039,0.309021007E-1
1040,0.310902819E-1
1041,0.312794857E-1
1042,0.314697884E-1
1043,0.316611230E-1
1044,0.318535566E-1
1045,0.320471041E-1
1046,0.322417058E-1
1047,0.324373618E-1
1048,0.326342061E-1
1049,0.328320563E-1
1050,0.330311097E-1
1051,0.332312398E-1
1052,0.334325172E-1
1053,0.336348899E-1
1054,0.338384211E-1
1055,0.340430513E-1
1056,0.342488587E-1
1057,0.344558395E-1
1058,0.346639417E-1
1059,0.348732322E-1
1060,0.350836553E-1
1061,0.352952778E-1
1062,0.355081111E-1
1063,0.357220918E-1
1064,0.359372944E-1
1065,0.361537226E-1
1066,0.363713168E-1
1067,0.365901515E-1
1068,0.368101560E-1
1069,0.370314196E-1
1070,0.372538716E-1
1071,0.374775827E-1
1072,0.377025679E-1
1073,0.379288346E-1
1074,0.381563082E-1
1075,0.383850038E-1
1076,0.386150666E-1
1077,0.388462879E-1
1078,0.390788950E-1
1079,0.393127427E-1
1080,0.395479202E-1
1081,0.397843421E-1
1082,0.400221124E-1
1083,0.402612165E-1
1084,0.405016020E-1
1085,0.407433435E-1
1086,0.409863703E-1
1087,0.412307680E-1
1088,0.414765477E-1
1089,0.417236276E-1
1090,0.419721045E-1
1091,0.422219746E-1
1092,0.424731746E-1
1093,0.427257866E-1
1094,0.429798178E-1
1095,0.432351977E-1
1096,0.434920080E-1
1097,0.437501781E-1
1098,0.440097973E-1
1099,0.442708731E-1
1100,0.445333272E-1
1101,0.447972529E-1
1102,0.450626574E-1
1103,0.453294590E-1
1104,0.455977544E-1
1105,0.458675474E-1
1106,0.461387672E-1
1107,0.464114994E-1
1108,0.466857515E-1
1109,0.469614491E-1
1110,0.472386815E-1
1111,0.475173704E-1
1112,0.477976128E-1
1113,0.480794162E-1
1114,0.483626984E-1
1115,0.486475527E-1
1116,0.489339940E-1
1117,0.492220260E-1
1118,0.495115668E-1
1119,0.498026237E-1
1120,0.500953868E-1
1121,0.503896773E-1
1122,0.506855063E-1
1123,0.509830713E-1
1124,0.512821898E-1
1125,0.515828617E-1
1126,0.518852994E-1
1127,0.521893129E-1
1128,0.524949059E-1
1129,0.528022908E-1
1130,0.531112701E-1
1131,0.534218550E-1
1132,0.537342541E-1
1133,0.540482737E-1
1134,0.543639250E-1
1135,0.546814129E-1
1136,0.550005510E-1
1137,0.553214438E-1
1138,0.556439981E-1
1139,0.559683256E-1
1140,0.562944375E-1
1141,0.566222295E-1
1142,0.569518246E-1
1143,0.572832301E-1
1144,0.576163419E-1
1145,0.579512790E-1
1146,0.582880564E-1
1147,0.586266741E-1
1148,0.589670353E-1
1149,0.593092628E-1
1150,0.596532449E-1
1151,0.599991158E-1
1152,0.603468679E-1
1153,0.606965236E-1
1154,0.610479675E-1
1155,0.614013337E-1
1156,0.617566258E-1
1157,0.621137396E-1
1158,0.624727979E-1
1159,0.628338084E-1
1160,0.631966665E-1
1161,0.635614991E-1
1162,0.639283210E-1
1163,0.642971322E-1
1164,0.646678209E-1
1165,0.650405288E-1
1166,0.654151365E-1
1167,0.657918975E-1
1168,0.661705732E-1
1169,0.665511787E-1
1170,0.669339672E-1
1171,0.673187152E-1
1172,0.677055344E-1
1173,0.680943131E-1
1174,0.684852004E-1
1175,0.688782036E-1
1176,0.692733228E-1
1177,0.696704462E-1
1178,0.700697154E-1
1179,0.704711378E-1
1180,0.708745867E-1
1181,0.712802038E-1
1182,0.716880113E-1
1183,0.720980093E-1
1184,0.725100860E-1
1185,0.729243681E-1
1186,0.733408853E-1
1187,0.737594962E-1
1188,0.741803572E-1
1189,0.746034756E-1
1190,0.750288665E-1
1191,0.754563957E-1
1192,0.758862123E-1
1193,0.763183311E-1
1194,0.767526180E-1
1195,0.771893784E-1
1196,0.776283294E-1
1197,0.780694783E-1
1198,0.785131305E-1
1199,0.789590105E-1
1200,0.794071108E-1
1201,0.798577592E-1
1202,0.803106576E-1
1203,0.807659701E-1
1204,0.812237039E-1
1205,0.816837326E-1
1206,0.821463615E-1
1207,0.826112852E-1
1208,0.830785334E-1
1209,0.835484266E-1
