i,zet,phim,phih
57,-1.7200000762939453E+001, 1.7854934930801392E-001, 1.2059015035629272E-001
58,-1.7149999618530273E+001, 1.7871755361557007E-001, 1.2071067094802856E-001
59,-1.7100000381469727E+001, 1.7888742685317993E-001, 1.2083208560943604E-001
60,-1.7049999237060547E+001, 1.7905771732330322E-001, 1.2095260620117188E-001
61,-1.7000000000000000E+001, 1.7922830581665039E-001, 1.2107419967651367E-001
62,-1.6950000762939453E+001, 1.7939895391464233E-001, 1.2119567394256592E-001
63,-1.6899999618530273E+001, 1.7957133054733276E-001, 1.2131911516189575E-001
64,-1.6850000381469727E+001, 1.7974334955215454E-001, 1.2144255638122559E-001
65,-1.6799999237060547E+001, 1.7991685867309570E-001, 1.2156569957733154E-001
66,-1.6750000000000000E+001, 1.8009173870086670E-001, 1.2169110774993896E-001
67,-1.6700000762939453E+001, 1.8026620149612427E-001, 1.2181544303894043E-001
68,-1.6649999618530273E+001, 1.8044143915176392E-001, 1.2193989753723145E-001
69,-1.6600000381469727E+001, 1.8061691522598267E-001, 1.2206548452377319E-001
70,-1.6549999237060547E+001, 1.8079394102096558E-001, 1.2219101190567017E-001
71,-1.6500000000000000E+001, 1.8097048997879028E-001, 1.2231791019439697E-001
72,-1.6450000762939453E+001, 1.8114918470382690E-001, 1.2244588136672974E-001
73,-1.6399999618530273E+001, 1.8132776021957397E-001, 1.2257468700408936E-001
74,-1.6350000381469727E+001, 1.8150770664215088E-001, 1.2270224094390869E-001
75,-1.6299999237060547E+001, 1.8168729543685913E-001, 1.2283194065093994E-001
76,-1.6250000000000000E+001, 1.8186849355697632E-001, 1.2296265363693237E-001
77,-1.6200000762939453E+001, 1.8205052614212036E-001, 1.2309175729751587E-001
78,-1.6149999618530273E+001, 1.8223208189010620E-001, 1.2322330474853516E-001
79,-1.6100000381469727E+001, 1.8241560459136963E-001, 1.2335246801376343E-001
80,-1.6049999237060547E+001, 1.8259900808334351E-001, 1.2348443269729614E-001
81,-1.6000000000000000E+001, 1.8278360366821289E-001, 1.2361717224121094E-001
82,-1.5949999809265137E+001, 1.8296968936920166E-001, 1.2375003099441528E-001
83,-1.5899999618530273E+001, 1.8315595388412476E-001, 1.2388408184051514E-001
84,-1.5850000381469727E+001, 1.8334245681762695E-001, 1.2401652336120605E-001
85,-1.5800000190734863E+001, 1.8352949619293213E-001, 1.2415236234664917E-001
86,-1.5750000000000000E+001, 1.8371796607971191E-001, 1.2428611516952515E-001
87,-1.5699999809265137E+001, 1.8390715122222900E-001, 1.2442350387573242E-001
88,-1.5649999618530273E+001, 1.8409675359725952E-001, 1.2455904483795166E-001
89,-1.5600000381469727E+001, 1.8428772687911987E-001, 1.2469565868377686E-001
90,-1.5550000190734863E+001, 1.8447893857955933E-001, 1.2483274936676025E-001
91,-1.5500000000000000E+001, 1.8467235565185547E-001, 1.2497127056121826E-001
92,-1.5449999809265137E+001, 1.8486440181732178E-001, 1.2510955333709717E-001
93,-1.5399999618530273E+001, 1.8505841493606567E-001, 1.2524867057800293E-001
94,-1.5350000381469727E+001, 1.8525409698486328E-001, 1.2538969516754150E-001
95,-1.5300000190734863E+001, 1.8544894456863403E-001, 1.2553012371063232E-001
96,-1.5250000000000000E+001, 1.8564575910568237E-001, 1.2567096948623657E-001
97,-1.5199999809265137E+001, 1.8584150075912476E-001, 1.2581330537796021E-001
98,-1.5149999618530273E+001, 1.8604093790054321E-001, 1.2595552206039429E-001
99,-1.5100000381469727E+001, 1.8623906373977661E-001, 1.2609773874282837E-001
100,-1.5050000190734863E+001, 1.8643850088119507E-001, 1.2624287605285645E-001
101,-1.5000000000000000E+001, 1.8663889169692993E-001, 1.2638664245605469E-001
102,-1.4949999809265137E+001, 1.8684166669845581E-001, 1.2653094530105591E-001
103,-1.4899999618530273E+001, 1.8704438209533691E-001, 1.2667781114578247E-001
104,-1.4850000381469727E+001, 1.8724578619003296E-001, 1.2682467699050903E-001
105,-1.4800000190734863E+001, 1.8745058774948120E-001, 1.2697088718414307E-001
106,-1.4750000000000000E+001, 1.8765574693679810E-001, 1.2711930274963379E-001
107,-1.4699999809265137E+001, 1.8786197900772095E-001, 1.2726831436157227E-001
108,-1.4649999618530273E+001, 1.8806844949722290E-001, 1.2741631269454956E-001
109,-1.4600000381469727E+001, 1.8827670812606812E-001, 1.2756699323654175E-001
110,-1.4550000190734863E+001, 1.8848478794097900E-001, 1.2771719694137573E-001
111,-1.4500000000000000E+001, 1.8869411945343018E-001, 1.2786865234375000E-001
112,-1.4449999809265137E+001, 1.8890523910522461E-001, 1.2802088260650635E-001
113,-1.4399999618530273E+001, 1.8911719322204590E-001, 1.2817311286926270E-001
114,-1.4350000381469727E+001, 1.8932908773422241E-001, 1.2832802534103394E-001
115,-1.4300000190734863E+001, 1.8954169750213623E-001, 1.2848091125488281E-001
116,-1.4250000000000000E+001, 1.8975603580474854E-001, 1.2863606214523315E-001
117,-1.4199999809265137E+001, 1.8997097015380859E-001, 1.2879210710525513E-001
118,-1.4149999618530273E+001, 1.9018840789794922E-001, 1.2894743680953979E-001
119,-1.4100000381469727E+001, 1.9040548801422119E-001, 1.2910652160644531E-001
120,-1.4050000190734863E+001, 1.9062381982803345E-001, 1.2926292419433594E-001
121,-1.4000000000000000E+001, 1.9084262847900391E-001, 1.2942266464233398E-001
122,-1.3949999809265137E+001, 1.9106298685073853E-001, 1.2958174943923950E-001
123,-1.3899999618530273E+001, 1.9128429889678955E-001, 1.2974298000335693E-001
124,-1.3850000381469727E+001, 1.9150704145431519E-001, 1.2990313768386841E-001
125,-1.3800000190734863E+001, 1.9173032045364380E-001, 1.3006585836410522E-001
126,-1.3750000000000000E+001, 1.9195508956909180E-001, 1.3022965192794800E-001
127,-1.3699999809265137E+001, 1.9217956066131592E-001, 1.3039153814315796E-001
128,-1.3649999618530273E+001, 1.9240629673004150E-001, 1.3055574893951416E-001
129,-1.3600000381469727E+001, 1.9263428449630737E-001, 1.3072174787521362E-001
130,-1.3550000190734863E+001, 1.9286304712295532E-001, 1.3088732957839966E-001
131,-1.3500000000000000E+001, 1.9309347867965698E-001, 1.3105440139770508E-001
132,-1.3449999809265137E+001, 1.9332343339920044E-001, 1.3122153282165527E-001
133,-1.3399999618530273E+001, 1.9355553388595581E-001, 1.3139057159423828E-001
